boro,decile,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
5,6,unlogpred,jitter,25,0.9609,0.912096969,0.687623669,5.235983336,0.997120572,0.081192451,0.918328534,0.105719118,0.108980203,0.003261086,1.030846696,TRUE,TRUE,TRUE
5,7,unlogpred,jitter,24,0.9623,0.854433402,0.802192817,5.828187031,1.001026094,0.053662078,0.902431039,0.121393088,0.126272305,0.004879217,1.040193533,TRUE,TRUE,TRUE
5,8,unlogpred,jitter,22,0.9189,0.738884672,0.922510897,10.41679144,1.030836091,-0.159408671,1.176589997,0.162825691,0.12138804,-0.041437651,0.745509133,TRUE,TRUE,FALSE
5,9,unlogpred,jitter,22,0.9421,0.728642468,0.803002193,9.911153927,1.016654364,-0.023033309,1.131925303,0.18695556,0.156939306,-0.030016254,0.839447118,TRUE,TRUE,TRUE
5,10,unlogpred,jitter,22,0.9242,0.914486016,0.911696091,5.310114157,1.006291277,-0.015781395,1.083104057,0.195367977,0.186361893,-0.009006084,0.953901943,TRUE,TRUE,TRUE
1,All,unlogpred,jitter,10011,0.9979,0.9726812,0.9793692,7.124531,1.013538,-0.010674196,1.018401,0.4202587,0.4117642,-0.008494497,0.9797875,TRUE,TRUE,TRUE
2,All,unlogpred,jitter,822,0.9788,0.9625993,0.7949127,8.716533,1.01461,-0.041980003,1.094384,0.2461842,0.2213146,-0.024869646,0.8989795,TRUE,TRUE,TRUE
3,All,unlogpred,jitter,5271,0.9968,0.9649744,0.9723663,6.319874,1.012907,-0.016889157,1.022311,0.3139932,0.3033767,-0.010616543,0.9661886,TRUE,TRUE,TRUE
4,All,unlogpred,jitter,3137,0.9931,0.9647588,0.9511663,5.52794,1.007837,-0.026399631,1.035859,0.2186522,0.2084144,-0.010237864,0.9531774,TRUE,TRUE,TRUE
5,All,unlogpred,jitter,257,0.9791,0.8375644,0.8808678,7.969066,1.015815,-0.048734542,1.04836,0.183611,0.1629308,-0.020680192,0.8873695,TRUE,TRUE,TRUE
