boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
2,Bronx,2250,prediction,GROSSCON,8,1.0214,0.923176421115641,0.7028112449799199,5.915338687543624,1.0089543390810698,-0.0751148100665803,1.1024069593051649,0.15263443780554053,0.12533162391219552,-0.027302813893344987,0.8211228456311458,1.885e-4,0.0041566,0.1148135,0.0041566,TRUE,TRUE,TRUE,2,Bronx,PARKCHESTR,PARKCHESTER
2,Bronx,2280,prediction,GROSSCON,6,,,,,,,,,,,,,,,,,,,2,Bronx,PEL PKWY N,PELHAM PARKWAY NORTH
2,Bronx,2290,prediction,GROSSCON,67,0.9917,0.8235924818840276,0.6963117432084747,11.435241556748615,1.033756174735979,-0.25474339007436975,1.2822947196487293,0.16906769324683615,0.11808215441687007,-0.05098553882996607,0.6984312150309643,0,0,0,0,TRUE,TRUE,FALSE,2,Bronx,PEL PKWY S,PELHAM PARKWAY SOUTH
2,Bronx,2300,prediction,GROSSCON,792,1.0023,0.8457744361406663,0.8876550872859338,10.490121900609294,1.0325305136394662,-0.06315391104758708,1.0917497825740687,0.2609406810723382,0.2239392384319365,-0.03700144264040173,0.8581997928098318,0,0,0,0,TRUE,TRUE,FALSE,2,Bronx,RIVERDALE,RIVERDALE
2,Bronx,2310,prediction,GROSSCON,36,0.9579,0.682412198750145,0.5807376669790429,17.97833440293878,1.0593705434316436,-0.3633613265475742,1.4495397970241863,0.18954790179801861,0.11908990059854666,-0.07045800119947196,0.6282839296498693,0,0,4e-7,0,TRUE,FALSE,FALSE,2,Bronx,SCHUY/PELM,SCHUYLERVILLE/PELHAM BAY
2,Bronx,2340,prediction,GROSSCON,12,0.9638,0.8885183402145138,0.9076677708256655,8.701191201199222,1.013940896846665,-0.08214401439589451,1.0354318840703618,0.18227283438982525,0.1591062353083992,-0.023166599081426018,0.8729015261161753,0,2.3e-6,0.2335899,2.3e-6,TRUE,TRUE,TRUE,2,Bronx,VN CORT PK,VAN CORTLANDT PARK
2,Bronx,2360,prediction,GROSSCON,6,,,,,,,,,,,,,,,,,,,2,Bronx,WESTCHESTR,WESTCHESTER
2,Bronx,2370,prediction,GROSSCON,6,,,,,,,,,,,,,,,,,,,2,Bronx,WLMSBRIDGE,WILLIAMSBRIDGE
2,Bronx,2380,prediction,GROSSCON,42,0.9883,0.7539324364477142,0.7873471526088952,11.611371141837653,1.0273080512296326,-0.21954560760215305,1.3064459156198271,0.1590839295783899,0.10714433638746122,-0.05193959319092859,0.6735082334929695,0,0,1.3e-6,0,TRUE,TRUE,TRUE,2,Bronx,WOODLAWN,WOODLAWN
3,Brooklyn,3010,prediction,GROSSCON,41,1.0216,0.8792461601188957,0.7991141383867424,7.535441747342113,1.0116601352568844,-0.12128814382719585,1.2155005107326526,0.13431651253079163,0.10618853987972462,-0.028127972651067076,0.7905844030560363,0,0,1.138e-4,0,TRUE,TRUE,TRUE,3,Brooklyn,BATH BEACH,BATH BEACH
