boro,boro_name,decile,cutoff,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
2,Bronx,4,"$225,000",prediction,GROSSCON,139,1.0245,0.04449589104834136,0.13550891884567984,9.407942463198355,1.000245947793087,1.1931114385370636,0.33786325985156906,0.023689832456724905,0.019787363878671558,-0.003902468578053207,0.8352682069330026,0,4.5e-6,0.3450459,4.5e-6,TRUE,TRUE,TRUE
2,Bronx,5,"$255,000",prediction,GROSSCON,139,0.9823,0.12743956821524904,0.10977205587679091,9.156443072037296,0.9997363193385163,0.9992995108991436,0.3150849383824707,0.021934897474501284,0.025412831243267094,0.003477933768765596,1.1585571016599683,0,0,0.2467649,0,TRUE,TRUE,TRUE
2,Bronx,6,"$287,700",prediction,GROSSCON,139,0.9745,0.13227670536591446,0.11183849034085973,9.371432052005758,0.99956428343122,1.037581140048547,0.26717448984491143,0.019024132972995562,0.026543806689276226,0.007519673716280736,1.395270245795426,0,0,0.0164855,0,TRUE,TRUE,TRUE
2,Bronx,7,"$325,000",prediction,GROSSCON,139,0.9754,0.07381190298284057,0.10233853487202006,10.555949259375188,0.9997339371042228,1.1569943349057108,0.27574270650071814,0.021032547085653743,0.02621237032725279,0.0051798232415990455,1.2462765551173993,0,0,0.2163045,0,TRUE,TRUE,TRUE
2,Bronx,8,"$385,000",prediction,GROSSCON,139,0.9752,0.09862633107047214,0.08723474400171428,7.99810581460144,1.000437772377285,0.8183072725273931,0.43730628607788374,0.025657396899298596,0.019706225475616616,-0.005951171423681937,0.768052408159744,0,0,0.0655672,0,TRUE,TRUE,TRUE
2,Bronx,9,"$510,000",prediction,GROSSCON,139,0.9581,0.38212450583807905,0.4015068674483978,8.622407624324197,0.9993707314579212,0.4630850093546949,0.581833208737001,0.04867851178886726,0.05360429782871901,0.004925786039851721,1.1011901526738594,0,0,0.2196586,0,TRUE,TRUE,TRUE
2,Bronx,10,"$1,300,000",prediction,GROSSCON,139,0.9272,0.3640892216127293,0.25152132121797705,12.415148843247632,1.0151677002316488,0.05022402032285862,1.014434278750615,0.11319134930334725,0.07052416214760869,-0.04266718715573848,0.6230525793857921,0,0,5e-7,0,TRUE,TRUE,TRUE
3,Brooklyn,1,"$240,000",prediction,GROSSCON,359,1.0858,0.27000168595370294,0.44566307097287317,10.426362283922936,1.0022553237716494,0.377717603610876,0.7751748587394609,0.06857580817349378,0.06114687173186429,-0.007428936441629603,0.8916682626206237,0,0,0.0573492,0,TRUE,TRUE,TRUE
3,Brooklyn,2,"$285,000",prediction,GROSSCON,359,1.0427,0.0654499835489392,0.10396353024531485,9.022665735168395,1.0008990911423212,0.8993525055014958,0.4674584974817943,0.029772501634263846,0.019633492870788805,-0.010139008763475227,0.6594505598479358,0,0,1e-6,0,TRUE,TRUE,TRUE
3,Brooklyn,3,"$337,000",prediction,GROSSCON,359,1.0233,0.07241844713989556,0.11519168612545447,8.141916825133796,1.0008136150536657,0.8428843247051714,0.47794459224947583,0.028010327716751535,0.018403574838764897,-0.00960675287798661,0.6570281870625395,0,0,0,0,TRUE,TRUE,TRUE
3,Brooklyn,4,"$397,052",prediction,GROSSCON,359,1.0143,0.09988734631701418,0.15184071897130313,9.38596831924756,1.0000362836755805,0.9773997839529756,0.4350991799339343,0.027603781500784175,0.027002826011131867,-6.009554896521758e-4,0.9782292332072283,0,0,0.626623,0,TRUE,TRUE,TRUE
3,Brooklyn,5,"$470,000",prediction,GROSSCON,359,1.009,0.1324370384948764,0.16388512064524124,8.634210330316165,1.0001116053211254,0.8356550214221159,0.39495113191741865,0.027188559122026293,0.02608080197393796,-0.0011077571480883576,0.9592564967081746,0,0,0.4656235,0,TRUE,TRUE,TRUE
3,Brooklyn,6,"$565,000",prediction,GROSSCON,359,1.0092,0.13437382443061172,0.18593089128301477,7.713208886622637,1.0005137063156695,0.7131899940775199,0.5345800300105078,0.030134984639449858,0.02480006509856846,-0.005334919540881326,0.822965911391336,0,0,0.0014553,0,TRUE,TRUE,TRUE
3,Brooklyn,7,"$685,000",prediction,GROSSCON,359,0.9924,0.21592536981886087,0.23747328914655308,9.20502672361677,0.9995073775624667,0.7593755141474464,0.38132415532565217,0.03047570282850967,0.03601172581813495,0.005536022989625415,1.1816536609763337,0,0,0.0018025,0,TRUE,TRUE,TRUE
3,Brooklyn,8,"$835,000",prediction,GROSSCON,359,0.9657,0.13340225532335942,0.17774640957920954,7.775139785423166,1.0008144691426328,0.6800433157855786,0.5376709771047541,0.03339656309318118,0.02509854729568837,-0.008298015797492942,0.7515308454244125,0,0,3e-7,0,TRUE,TRUE,TRUE
3,Brooklyn,9,"$1,200,000",prediction,GROSSCON,359,0.9545,0.429672425091962,0.4533006663286376,8.167298435119607,1.0014313783144186,0.2512926269229836,0.7965202289413416,0.061156745962331775,0.052924934934564655,-0.008231811027767232,0.8653981519416101,0,0,3.4e-6,0,TRUE,TRUE,TRUE
3,Brooklyn,10,"$3,945,000",prediction,GROSSCON,358,0.9214,0.8557996087148892,0.8216719996463698,7.598143146822069,0.9973423149522981,0.09907720536184501,0.862844881591039,0.1369025832979939,0.14394907867722562,0.007046495379231627,1.0514708722763366,0,0,0.0100313,0,TRUE,TRUE,TRUE
4,Queens,1,"$209,000",prediction,GROSSCON,562,1.0777,0.5663943794226562,0.5609544669065105,8.883568403459032,1.0001916119234966,0.1841800494404384,0.802228197520203,0.07846941986239404,0.07783698812015571,-6.324317422381091e-4,0.9919404050221514,0,0,0.5859736,0,TRUE,TRUE,TRUE
4,Queens,2,"$240,000",prediction,GROSSCON,562,1.0559,0.028259713002335422,0.039147945465856815,8.068016962965755,1.0009499892691012,0.9542449822604223,0.42569829816208726,0.023672992707493932,0.010564170355846916,-0.01310882235164676,0.4462541127089112,0,0,0,0,TRUE,TRUE,TRUE
