block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
452,prediction,GROSSCON,6,0.9811,0.8782056847008889,1,10.371758418397551,1.0252016231546435,-0.24897197888628653,1.3631649187621306,0.17683671459523337,0.12345083896413883,-0.0533858756310946,0.6981063816227809,3.45e-4,0.0035,0.1024522,0.0035,TRUE,TRUE,TRUE
455,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
461,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
466,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
467,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
468,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
473,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
474,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
475,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
482,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
483,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
484,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
485,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
486,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
487,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
489,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
496,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
498,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
499,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
500,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
502,prediction,GROSSCON,7,1.0082,0.8806651540693592,0.4525619834710745,10.932531700982004,1.05829964098874,-0.007232752064140061,1.0081628067078487,0.6602274284148512,0.6109534058501931,-0.049274022564658126,0.9253681073460388,0.0293131,0.0376357,0.7097457,0.0376357,TRUE,TRUE,TRUE
503,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
504,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
506,prediction,GROSSCON,15,0.9294,0.5431752877641542,0.513675568617429,20.999933840659736,1.064012688587638,-0.27298114831756637,1.2828414520994667,0.21488284026779578,0.1322288947217289,-0.0826539455460669,0.6153534389108957,3.5e-6,0.0012882,0.0494126,0.0012882,TRUE,FALSE,FALSE
510,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
514,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
515,prediction,GROSSCON,7,0.9676,0.9419448843410236,0.7346938775510199,10.673695660960124,1.0154762162552204,-0.04688868258790132,1.0003539707713294,0.26989535166707224,0.25395693296727445,-0.01593841869979778,0.9409459310753212,6.39e-4,0.0035944,0.6124378,0.0035944,TRUE,TRUE,TRUE
516,prediction,GROSSCON,6,0.9773,0.9878689875093116,0.8889795918367347,7.491278607380757,1.0122604922601985,-0.04529896570903615,1.0421192000078432,0.3118082134043956,0.31523032371040194,0.003422110306006327,1.010975048632115,0.0041135,0.0073609,0.8660514,0.0073609,TRUE,TRUE,TRUE
517,prediction,GROSSCON,13,0.9359,0.8531332712413747,0.5823037459777791,21.268555263135962,1.0989672406227358,-0.44097546771643215,1.4016964966307566,0.2509709951649315,0.15898486088832608,-0.09198613427660539,0.6334790232785482,6.9e-6,0.0013478,8.949e-4,0.0013478,TRUE,FALSE,FALSE
518,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
519,prediction,GROSSCON,12,0.9861,0.8615936709317245,0.760655134339345,11.904984439781362,1.0627606179554756,-0.1372322058004109,1.3000916087747347,0.3194805194805194,0.24429768763866613,-0.07518283184185336,0.7646716239096463,0.0010118,0.0105542,0.0839313,0.0105542,TRUE,TRUE,FALSE
520,prediction,GROSSCON,6,0.997,0.817788924467909,0.5951020408163266,6.890847305998989,1.0094693898270908,-0.20841514148446752,1.384807253954299,0.11220990811783656,0.07523569883806956,-0.03697420927976694,0.6704906910632291,0.0016943,0.0553347,0.1010918,0.0553347,TRUE,TRUE,TRUE
521,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
522,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
523,prediction,GROSSCON,13,1.0176,0.9517657902870932,0.6215754997092046,9.789559768225812,1.039981696166893,-0.046962040937303544,1.1060435405471347,0.39715434664251703,0.3599180883732689,-0.037236258269248104,0.9062423498973694,0.0015932,0.0051045,0.2651137,0.0051045,TRUE,TRUE,TRUE
525,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
526,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
527,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
528,prediction,GROSSCON,8,0.9968,0.9980116284999984,0.9529478458049888,5.255406339430529,1.0156762571707711,-0.02725560053811101,1.0465809882091583,0.4026235399820304,0.388577897684412,-0.014045642297618332,0.9651147016931867,0.0378541,0.039351,0.2264209,0.039351,TRUE,TRUE,TRUE
529,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
530,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
531,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,
532,prediction,GROSSCON,28,1.0382,0.9308262615876771,0.2625244202015513,14.61295422423891,1.0412993723886093,-0.13988005079362248,1.4416687898483413,0.22326664777188135,0.1382849551599144,-0.08498169261196688,0.6193713057456065,0.0014278,0.0399547,1e-7,0.0399547,TRUE,TRUE,FALSE
537,prediction,GROSSCON,7,0.9748,0.9980207127199485,0.9298469387755098,5.9147573794148824,1.0154476430335366,-0.01559456343448052,1.0490011937598624,0.5456229362970121,0.5304528265259805,-0.015170109771031542,0.9721967154203843,0.0449978,0.0526168,0.2825249,0.0526168,TRUE,TRUE,TRUE
539,prediction,GROSSCON,7,1.0137,0.9784330103748544,0.6173469387755098,4.684448981758751,1.0130510848761294,-0.1226236623112072,1.1970360969523082,0.16257523500371954,0.1304422023681776,-0.032133032635541875,0.8023497697247269,0.003078,0.0091193,0.0095894,0.0091193,TRUE,FALSE,TRUE
542,prediction,GROSSCON,7,0.936,0.6302705532607494,0.7795454545454543,12.707394715023462,1.025431204113845,-0.42993153200850437,1.8968763095126022,0.13831871765557482,0.06609561760692345,-0.07222310004865137,0.4778501328468585,4.854e-4,0.0165377,0.0196199,0.0165377,TRUE,TRUE,TRUE
543,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
545,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
548,prediction,GROSSCON,22,0.9641,0.9138244434643497,0.6018135529091877,16.257916037930375,1.0422639059340513,-0.07812754999612065,1.243096014141908,0.3145366583420801,0.2564137888805897,-0.05812286946149048,0.8152111433756065,4.37e-5,0.0012282,0.020832,0.0012282,TRUE,FALSE,FALSE
550,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
551,prediction,GROSSCON,27,1.0454,0.7056591199763028,0.5463040013421694,16.8749555836925,1.057333259614934,-0.11638311964553534,1.1240612648765957,0.2678512736610848,0.1967506659263752,-0.07110060773470954,0.734551914714156,0,3e-7,0.0210894,3e-7,TRUE,FALSE,FALSE
552,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
553,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
555,prediction,GROSSCON,37,0.9934,0.7178973787086603,0.6357954126501224,16.963347421115166,1.0489728871282118,-0.11171266186879653,1.1309530100758836,0.21908057489158156,0.15685621295456706,-0.0622243619370145,0.7159749924528539,0,0,5.493e-4,0,TRUE,FALSE,FALSE
556,prediction,GROSSCON,13,0.9851,0.8062076373057885,0.7530280492987675,12.386893014286802,1.0432833924198723,-0.3421393946625954,1.641617955524003,0.18745499408956753,0.10270411709408475,-0.08475087699548271,0.5478868012714133,6e-7,4.7e-6,0.0017269,4.7e-6,TRUE,TRUE,FALSE
561,prediction,GROSSCON,40,0.9884,0.9510342641328636,0.8213050144345884,16.901752245087557,1.0557449155845053,-0.07326570554520545,1.112139270220368,0.3596786352503488,0.30785101775808743,-0.0518276174922615,0.8559057658340263,0,1.8e-6,0.0013805,1.8e-6,TRUE,FALSE,FALSE
562,prediction,GROSSCON,28,0.9672,0.9465989107980672,0.6352790390095583,16.691976563060585,1.0605778556144732,-0.12947525565503362,1.2618280998008737,0.3117403331980779,0.23660716419309874,-0.07513316900497906,0.7589879749142379,3.09e-5,8.098e-4,4.33e-5,8.098e-4,TRUE,FALSE,FALSE
563,prediction,GROSSCON,8,0.9884,0.9727619954028519,0.8622448979591839,14.96954950821312,1.0447601975653873,-0.06041077906996919,1.1511999413403071,0.4321887074778003,0.40038994548960277,-0.03179876198819762,0.9264238943822218,0.0030045,0.0101937,0.3302003,0.0101937,TRUE,TRUE,FALSE
564,prediction,GROSSCON,22,0.9891,0.9523409029974118,0.4474628770349762,11.082464218819588,1.0419155791531416,-0.07179029989768773,1.1457663037691193,0.33871627597202636,0.2893274412530629,-0.04938883471896359,0.8541881857397294,8.6e-6,1.477e-4,0.0034433,1.477e-4,TRUE,TRUE,FALSE
