NEIGHBORHOOD,decile,n,ci_population,gini_population,ki_population,mki_population,gini_sample,ci_sample,ki_sample,mki_sample,gini_model,ci_model,ki_model,mki_model,ci_assessr,gini_assessr,ki_assessr,mki_assessr
2030,3,21,0.0196255770222683,0.02636453600292785,-0.00673895898065955,0.7443930369223577,0.025109081907550332,0.018691025735493617,-0.0064180561720567145,0.7443930369223577,0.026364536002927874,0.019625577022268293,-0.006738958980659551,0.7443930369223581,0.020517868275258404,0.025109081907550273,-0.004591213632291868,0.8171492829090141
2030,4,15,0.02407831468525246,0.02210778655775548,0.0019705281274969774,1.0891327642570219,0.02063393412057178,0.02247309370623563,0.0018391595856638472,1.089132764257022,0.022107786557755478,0.024078314685252452,0.0019705281274969627,1.0891327642570208,0.024805665851200823,0.020633934120571715,0.004171731730629107,1.2021782034512727
2030,5,14,0.015495020937471933,0.017447199265381082,-0.0019521783279091483,0.8881093579424704,0.01620097074642529,0.01438823372765251,-0.001812737018772782,0.8881093579424703,0.017447199265381096,0.015495020937471937,-0.0019521783279091522,0.888109357942465,0.014344700234408083,0.016200970746425267,-0.001856270512017184,0.8854222662906315
2030,6,2,-0.10258184813773764,0.011450381679389313,-0.11403222981712696,-8.95881473736242,0.0057251908396946565,-0.05129092406886882,-0.05701611490856348,-8.95881473736242,0.011450381679389244,-0.10258184813773773,-0.114032229817127,-8.958814737362482,-0.05129092406886859,0.005725190839694694,-0.05701611490856329,-8.958814737362323
2030,7,4,0.04083027870723955,0.03159041394335512,0.009239864763884428,1.2924895121808933,0.02369281045751634,0.030622709030429664,0.006929898572913325,1.2924895121808935,0.03159041394335517,0.040830278707239466,0.009239864763884461,1.292489512180894,0.03062270903042963,0.023692810457516256,0.006929898572913373,1.2924895121808966
2030,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2060,1,4,0.10476557112344809,0.1340052258305338,-0.0292396547070857,0.7818021310298535,0.10050391937290035,0.07857417834258607,-0.02192974103031428,0.7818021310298535,0.13400522583053376,0.1047655711234481,-0.029239654707085717,0.7818021310298536,0.07857417834258618,0.10050391937290026,-0.021929741030314087,0.7818021310298552
2060,2,3,0.04124266210077047,0.024553571428571428,0.01668909067219904,1.6797011473768337,0.016369047619047616,0.02749510806718031,0.011126060448132694,1.6797011473768337,0.024553571428571383,0.04124266210077052,0.016689090672198988,1.6797011473768386,0.027495108067180436,0.016369047619047745,0.01112606044813269,1.6797011473768282
2060,3,5,0.037429845178787044,0.02813852813852814,0.009291317040258904,1.3301991132768933,0.022510822510822513,0.029943876143029638,0.007433053632207125,1.3301991132768933,0.028138528138528133,0.03742984517878703,0.009291317040258897,1.330199113276894,0.02994387614302969,0.022510822510822592,0.007433053632207098,1.330199113276891
2060,4,7,0.041446839569008465,0.02271782950959584,0.018729010059412625,1.824418990005257,0.01947242529393929,0.03552586248772154,0.01605343719378225,1.824418990005257,0.02271782950959587,0.04144683956900836,0.01872901005941264,1.824418990005267,0.03776733227484819,0.019472425293939364,0.018294906980908823,1.9395289341078106
