NEIGHBORHOOD,decile,n,ci_population,gini_population,ki_population,mki_population,gini_sample,ci_sample,ki_sample,mki_sample,gini_model,ci_model,ki_model,mki_model,ci_assessr,gini_assessr,ki_assessr,mki_assessr,ci_rineq
1050,4,3,0.0015891899462013178,0.035269709543568464,-0.03368051959736715,0.04505820906288442,0.02351313969571231,0.0010594599641342117,-0.022453679731578097,0.045058209062884415,0.03526970954356835,0.0015891899462012525,-0.033680519597367224,0.045058209062880036,0.0010594599641340352,0.023513139695712226,-0.02245367973157819,0.045058209062877067,0.0010594599641341638
1050,5,5,0.028005762789168193,0.024154589371980676,0.0038511734171875166,1.1594385794715631,0.019323671497584544,0.022404610231334554,0.0030809387337500105,1.159438579471563,0.02415458937198068,0.02800576278916819,0.003851173417187487,1.1594385794715654,0.022126586261327397,0.019323671497584627,0.0028029147637427705,1.1450508390236878,0.0221265862613275
1050,6,13,0.024488512067694267,0.03208858468280463,-0.007600072615110361,0.763153386469456,0.02962023201489658,0.022604780370179326,-0.007015451644717254,0.7631533864694561,0.03208858468280468,0.024488512067694278,-0.00760007261511037,0.7631533864694554,0.022810847953591697,0.02962023201489654,-0.006809384061304841,0.7701103739538474,0.022810847953591434
1050,7,2,-0.022652222207449606,0.022494887525562373,-0.045147109733011975,-1.0069942417675324,0.011247443762781187,-0.011326111103724803,-0.022573554866505988,-1.0069942417675324,0.02249488752556243,-0.022652222207449543,-0.045147109733011996,-1.006994241767529,-0.011326111103724834,0.011247443762781195,-0.02257355486650603,-1.0069942417675344,-0.011326111103724775
1050,8,3,0.03985224925615745,0.04676258992805756,-0.006910340671900113,0.8522250225547514,0.031175059952038373,0.02656816617077163,-0.004606893781266743,0.8522250225547514,0.04676258992805747,0.039852249256157296,-0.006910340671900143,0.852225022554751,0.026568166170771512,0.03117505995203847,-0.004606893781266958,0.852225022554745,0.0265681661707715
1050,9,6,0.06469619895290517,0.05624804259317257,0.008448156359732596,1.1501946729210812,0.04687336882764381,0.05391349912742097,0.00704013029977716,1.150194672921081,0.056248042593172544,0.06469619895290515,0.008448156359732614,1.1501946729210821,0.05391349912742097,0.04687336882764385,0.007040130299777125,1.1501946729210801,0.05391349912742092
1050,10,5,0.10437319005449919,0.12095730918499353,-0.016584119130494346,0.8628927905040414,0.09676584734799483,0.08349855204359935,-0.01326729530439548,0.8628927905040413,0.12095730918499352,0.1043731900544992,-0.01658411913049432,0.8628927905040417,0.08349855204359927,0.09676584734799487,-0.013267295304395604,0.8628927905040401,0.08349855204359942
1060,1,12,0.05521550608898577,0.08195876288659795,-0.026743256797612185,0.6736986277524049,0.07512886597938145,0.050614213914903616,-0.024514652064477838,0.6736986277524049,0.08195876288659792,0.055215506088985754,-0.026743256797612174,0.6736986277524047,0.05061421391490365,0.0751288659793814,-0.024514652064477747,0.6736986277524057,0.05061421391490372
1060,2,16,0.042516309378171656,0.0386546615216045,0.0038616478565671533,1.0999012203071248,0.036238745176504224,0.03985904004203593,0.003620294865531705,1.0999012203071248,0.038654661521604516,0.04251630937817164,0.0038616478565671893,1.0999012203071257,0.04058358917793137,0.03623874517650427,0.004344844001427095,1.119894990300164,0.04058358917793096
1060,3,8,0.033228201691037816,0.03407787300087725,-8.496713098394351e-4,0.975066773979187,0.029818138875767595,0.029074676479658088,-7.434623961095066e-4,0.975066773979187,0.03407787300087734,0.03322820169103784,-8.496713098394472e-4,0.9750667739791853,0.0289869755991794,0.029818138875767675,-8.311632765882759e-4,0.9721255816786158,0.028986975599179423
1060,4,15,0.013318460829207346,0.024992880791640873,-0.011674419962433527,0.5328901834182254,0.023326688738864815,0.012430563440593524,-0.010896125298271291,0.5328901834182254,0.02499288079164081,0.013318460829207292,-0.011674419962433511,0.5328901834182262,0.012854300633311293,0.023326688738864714,-0.010472388105553421,0.5510555217335531,0.012854300633311026
1060,5,12,0.02165827973428506,0.029693049164806685,-0.008034769430521626,0.7294057142489517,0.027218628401072795,0.019853423089761305,-0.00736520531131149,0.7294057142489517,0.029693049164806785,0.021658279734285083,-0.008034769430521642,0.7294057142489461,0.019145235445626813,0.02721862840107277,-0.008073392955445957,0.703387223026721,0.019145235445626897
