boro,decile,n,ci_new,ci_population,ci_sample,ci_model,ci_assessr,ci_rineq,gini_new,gini_population,gini_sample,gini_model,gini_assessr,gini_DescTools,ki_new,ki_population,ki_sample,ki_model,ki_assessr,mki_new,mki_population,mki_sample,mki_model,mki_assessr
4,2,562,0.011924817796043909,0.011690006752942175,0.011669206029182491,0.01169000675294212,0.011697164905661774,0.011697164905660813,0.023625155537406104,0.023672992707493713,0.02363086994466899,0.023672992707493536,0.02363086994466893,0.02367299270749425,-0.011700337741362195,-0.011982985954551538,-0.0119616639154865,-0.011982985954551524,-0.011933705039007154,0.5047508693503899,0.493811952607145,0.493811952607145,0.49381195260715044,0.4949951031447587
4,3,562,0.015887690991698022,0.015244868368391673,0.015217742268092043,0.01524486836839157,0.014999481357019574,0.014999481357019565,0.02020900657661272,0.019833636874750003,0.01979834570593372,0.019833636874749986,0.019798345705933796,0.019833636874750517,-0.004321315584914699,-0.00458876850635833,-0.004580603437841677,-0.004588768506358308,-0.004798864348914222,0.7861688268281516,0.7686370616071809,0.7686370616071809,0.7686370616071965,0.7576128621960598
4,4,562,0.01479060288048297,0.015003396427059765,0.01497669999213617,0.015003396427059813,0.014704634607972599,0.014704634607972267,0.01604749552738105,0.016377349800559014,0.016348208608743073,0.01637734980055904,0.01634820860874313,0.016377349800559392,-0.001256892646898081,-0.0013739533734992496,-0.0013715086166069031,-0.0013739533734992509,-0.0016435740007705296,0.9216767099418406,0.9161064891309612,0.916106489130961,0.91610648913098,0.8994645810984125
4,5,562,0.01322034019892326,0.013339454674087285,0.013315718989613819,0.013339454674087287,0.013637174299116456,0.013637174299115878,0.013952346108334597,0.014088216845213573,0.014063148843709634,0.014088216845213768,0.01406314884370966,0.014088216845213823,-7.32005909411337e-4,-7.487621711262885e-4,-7.474298540958157e-4,-7.487621711262806e-4,-4.259745445932047e-4,0.9475352816130281,0.9468518848515114,0.9468518848515113,0.9468518848515199,0.9697098744152353
4,6,562,0.01153740069465756,0.011366632654651045,0.011346407329642769,0.011366632654651017,0.011296411542221553,0.01129641154222131,0.012336644007555471,0.012750054141581018,0.012727367212503471,0.012750054141580924,0.012727367212503444,0.0127500541415813,-7.992433128979105e-4,-0.001383421486929973,-0.0013809598828607023,-0.0013834214869299553,-0.0014309556702818901,0.9352138788791813,0.8914968147140411,0.8914968147140411,0.8914968147140391,0.8875686034362149
4,7,562,0.010549216983927297,0.010753524290271904,0.010734389905413769,0.010753524290271897,0.010726974411965632,0.010726974411964222,0.014439531004299672,0.014821918370298608,0.014795544850066759,0.014821918370298623,0.014795544850066759,0.014821918370299014,-0.0038903140203723745,-0.0040683940800267035,-0.00406115494465299,-0.004068394080026718,-0.004068570438101127,0.730578921211918,0.7255150124035705,0.7255150124035705,0.7255150124035711,0.7250138146766005
4,8,562,0.020324184794405627,0.02036174886211435,0.020325517992252937,0.020361748862114257,0.02035896541828466,0.02035896541828559,0.019624618014179997,0.019793523701283067,0.019758303908220285,0.019793523701283046,0.019758303908220292,0.019793523701283643,6.995667802256293e-4,5.682251608312844e-4,5.672140840326523e-4,5.682251608313012e-4,6.006615100643681e-4,1.0356474087658751,1.02870763030407,1.02870763030407,1.0287076303040668,1.03040045911099
4,9,561,0.02750881185520962,0.027546493289308267,0.02749739080572661,0.027546493289308274,0.027482703799565397,0.027482703799565276,0.029411613913986244,0.02974378945507491,0.02969077022253467,0.029743789455074946,0.02969077022253474,0.029743789455075702,-0.0019028020587766245,-0.002197296165766645,-0.002193379416808059,-0.0021972961657666843,-0.0022080664229693417,0.9353043983121315,0.926125883553424,0.926125883553424,0.9261258835534193,0.9256312178357212
4,10,561,0.12660932794286742,0.12790437197521576,0.1276763784422831,0.1279043719752158,0.12762837859167442,0.1276283785916764,0.1308280431918236,0.13224771722204035,0.13201198154071764,0.13224771722204023,0.13201198154071733,0.13224771722204323,-0.004218715248956173,-0.004343345246824587,-0.004335603098434532,-0.004343345246824297,-0.004383602949042914,0.9677537388312796,0.9671575030703008,0.9671575030703008,0.9671575030703021,0.9667939008423198
5,1,18,0.04206175196588333,0.050067913528077504,0.04728636277651764,0.050067913528077414,0.047336412032815564,0.047336412032815585,0.07905549372452413,0.08433264624161114,0.0796474992281883,0.08433264624161108,0.07964749922818824,0.08433264624161121,-0.03699374175864079,-0.03426473271353364,-0.03236113645167066,-0.03426473271353366,-0.03231108719537268,0.5320534979194644,0.5936955112808159,0.5936955112808159,0.5936955112808158,0.5943238958099342
5,2,18,0.02273859133496791,0.019167013815020516,0.018102179714186043,0.019167013815020586,0.016788382473551324,0.016788382473551276,0.013899759892613403,0.01504368975767949,0.014207929215586184,0.01504368975767963,0.014207929215586211,0.015043689757679496,0.008838831442354507,0.004123324057341027,0.0038942504985998595,0.004123324057341035,0.0025804532579651127,1.6358981385751585,1.274089942278699,1.274089942278699,1.2740899422787004,1.181620644276179
5,3,17,0.026614755209429783,0.02743084768561807,0.025817268409993478,0.027430847685618077,0.02810042338484773,0.028100423384847455,0.021385217539281867,0.021992096018735363,0.02069844331175093,0.021992096018735356,0.020698443311750983,0.021992096018735356,0.005229537670147916,0.005438751666882707,0.0051188250982425465,0.005438751666882711,0.007401980073096746,1.2445398397534153,1.2473048345300677,1.2473048345300675,1.2473048345300712,1.3576104715514752
5,4,17,-7.375206227699336e-4,-4.470395001467975e-4,-4.2074305896169176e-4,-4.470395001468388e-4,0.002946051593713861,0.002946051593713882,0.010594865742651824,0.013761008807045639,0.012951537700748837,0.013761008807045578,0.012951537700748868,0.013761008807045635,-0.011332386365421757,-0.014208048307192436,-0.013372280759710527,-0.014208048307192425,-0.010005486107035007,-0.06961113436302376,-0.03248595407612218,-0.03248595407612218,-0.03248595407611817,0.22746732177936818
5,5,17,0.007031341953287884,0.011862278794302773,0.011164497688755552,0.011862278794302787,0.009678616969430967,0.009678616969431394,0.01168605171841404,0.013665663682176234,0.012861801112636455,0.013665663682176239,0.01286180111263637,0.013665663682176232,-0.004654709765126155,-0.0018033848878734604,-0.0016973034238809033,-0.001803384887873447,-0.0031831841432054028,0.6016867050321539,0.8680353234343409,0.868035323434341,0.8680353234343435,0.7525086793576671
5,6,17,0.009372339621931753,0.008311181336969346,0.007822288317147619,0.008311181336969358,0.009069736935486027,0.00906973693548611,0.010401228295691005,0.010965901160297359,0.010320848150868102,0.010965901160297338,0.01032084815086813,0.010965901160297362,-0.0010288886737592519,-0.0026547198233280132,-0.0024985598337204824,-0.002654719823328007,-0.001251111215382102,0.9010800797262092,0.7579113850725219,0.7579113850725219,0.7579113850725229,0.8787782557117784
