"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"89",1,1271,10,"101500002000000001-0000     4C",3317000,4299775.26334028,c(-73.9573835293937, 40.7822075992142)
"90",4,4220,3,"402162012200000001-0000   C700",270000,308322.780159254,c(-73.8474596424591, 40.7377499747607)
"91",4,4140,1,"401727000800000005-0000     2H",185000,195161.750198601,c(-73.8562352648648, 40.7576018057688)
"92",3,3090,9,"300237000800000001-0000     7A",1075000,1156063.337795,c(-73.9936931362673, 40.6956484419433)
"93",4,4440,7,"407755000300000004-7000  338A1",357500,334174.292329928,c(-73.7542294906663, 40.7397374747561)
"94",1,1271,9,"101519000100000001-0000     8D",2400000,2632048.37437014,c(-73.9547360811222, 40.7827820962303)
"95",1,1281,8,"101250000600000001-0000     7F",1350000,1107522.48393961,c(-73.9785473838371, 40.7911308865996)
"96",1,1270,3,"101471004500000001-0000    12G",585000,586880.321196,c(-73.9532819427392, 40.7706397475433)
"97",2,2200,9,"202461009400000001-0000    10N",405000,367179.100229849,c(-73.9201361445309, 40.8301511750641)
"98",1,1270,8,"101388005600000001-0000     4D",1300000,1484617.46653164,c(-73.9649196906843, 40.7730388707982)
"99",4,4500,1,"416228004100000001-0000     6K",202500,209273.576085403,c(-73.8381676889435, 40.5772855513039)
"100",1,1130,6,"101722003300000001-0000     5C",835000,814459.877268475,c(-73.9430632176078, 40.8060766035379)
"101",3,3440,10,"301179009600000001-0000     6D",2275000,1766512.104577,c(-73.9670507108055, 40.6732358799458)
"102",1,1121,3,"100608003900000001-0000    10B",540000,566497.329390813,c(-73.9979723151567, 40.7364771133765)
"103",1,1271,1,"101542001900000001-0000    21U",385000,482191.386334075,c(-73.9528787717078, 40.7728915760161)
"104",4,4220,10,"402234000100000001-0000     5A",1050000,639548.618277278,c(-73.8406772622709, 40.722024232075)
"105",4,4560,6,"400177000100000003-0000     7F",335000,350751.135025485,c(-73.92195714688, 40.7386545460736)
"106",4,4470,4,"402086005000000003-0000     7L",290000,302976.950075343,c(-73.8598809796084, 40.7322696134384)
"107",1,1120,10,"100531004500000001-0000     7F",4600000,4117315.81051052,c(-73.9922762649452, 40.7268695233559)
"108",1,1291,2,"102179000100000001-0000    06D",452500,506444.14718498,c(-73.9412797700799, 40.8518411299914)
"109",4,4060,8,"404591007500000011-0000     7C",408888,457962.195041822,c(-73.7992404148425, 40.7917850264985)
"110",3,3420,6,"301071000400000001-0000     2D",500000,635260.460621302,c(-73.974634527092, 40.6719401007698)
"111",3,3150,7,"301902000100000003-0000     9H",660000,723661.593924054,c(-73.9681310607595, 40.6922421297711)
"112",1,1280,8,"101183004200000001-0000     6D",1326000,1223044.21077912,c(-73.9855976003226, 40.7799698247201)
"113",3,3230,7,"305061004000000001-0000     31",625000,648160.846256092,c(-73.9618091156077, 40.6523730326067)
"114",3,3420,9,"301076004000000001-0000      5",1130000,979214.955494958,c(-73.9756526457298, 40.6704723114273)
"115",4,4210,5,"405026000700000004-3000    17C",308000,317689.784389802,c(-73.8183694833355, 40.7632636871278)
"116",4,4300,1,"410538007000000001-0000    A52",182500,185275.255939904,c(-73.7622877856304, 40.7215069467837)
"117",3,3230,7,"305122005600000001-0000     3B",620000,702573.744400296,c(-73.9621170489657, 40.645911512735)
"118",1,1201,3,"101367000100000001-0000    25K",580000,591407.4138212,c(-73.9631217477455, 40.7570988822293)
"119",4,4310,1,"411446005000000001-0000     5M",205000,200162.942463214,c(-73.8481035223917, 40.665940844198)
"120",1,1280,3,"101145000100000001-0000     8E",525000,534609.732298677,c(-73.9806572839604, 40.7793355185712)
"121",3,3201,7,"300086001100000005-0000     4F",602500,486681.834783298,c(-73.9878532443117, 40.6978012627673)
"122",3,3090,6,"300208050100000001-0000     1B",476000,521013.904605015,c(-73.9979033812611, 40.6952259863816)
"123",1,1180,4,"100263000800000006-0000  D1601",605000,635867.160208546,c(-73.9789832236522, 40.7129513545995)
"124",4,4050,1,"405863020000000002-0000     2E",170000,259085.242740532,c(-73.7840382347187, 40.7821528179683)
"125",1,1271,9,"101507002100000001-0000     6B",1745000,1710502.20977519,c(-73.9542355259551, 40.7866505892704)
"126",4,4390,8,"4083580001000002-102000    599",390000,353343.208301624,c(-73.7264747810909, 40.7586543831382)
"127",4,4050,4,"405878005000000001-0000     5G",280000,306602.099512501,c(-73.7826850253958, 40.7799617295456)
"128",1,1030,5,"100798007100000001-0000     3G",734000,657116.691755882,c(-73.9948718445833, 40.7434638860979)
"129",3,3150,9,"301930000100000008-0000     6F",845000,948331.915000089,c(-73.9672979631073, 40.6882782218255)
"130",3,3090,7,"300250001400000001-0000     2B",640000,658026.683767187,c(-73.9918332888261, 40.6935881385517)
"131",3,3401,2,"306681041500000001-0000    A16",250000,230869.118687453,c(-73.9675492628616, 40.6044647888692)
"132",1,1270,2,"101427003000000001-0000     8H",440000,527311.946286989,c(-73.958712757562, 40.7695918478145)
"133",1,1291,5,"102179000100000001-0000    06B",785000,864468.041417588,c(-73.9412797700799, 40.8518411299914)
"134",4,4050,2,"407474005000000001-0000     6R",230000,220219.840138811,c(-73.7592219927824, 40.7608192791283)
"135",3,3230,5,"305156004800000001-0000     4D",450000,439820.143283825,c(-73.9656056289654, 40.6392729143911)
"136",1,1271,7,"101579004900000001-0000     3J",1250000,1223797.61123019,c(-73.94824331055, 40.7735785091686)
"137",1,1270,10,"101386000100000001-0000    11B",4792637,3860453.09763581,c(-73.9670731774275, 40.7718109378859)
"138",4,4460,1,"407968003100000001-0000     1E",190000,196454.017233192,c(-73.7356185398438, 40.7286706076799)
"139",1,1030,8,"100753000600000001-0000     1A",1325000,1166740.72348275,c(-73.9980068146381, 40.7502477297234)
"140",4,4390,8,"40835800010000002-88000    571",390000,336298.771108291,c(-73.7264747810909, 40.7586543831382)
"141",1,1281,7,"101207000600000001-0000     1G",1225000,663646.115518585,c(-73.96816858128, 40.7908243682108)
"142",4,4210,3,"404340001000000003-0000     6H",255000,265240.574488715,c(-73.8310512966612, 40.7707796940356)
"143",4,4470,10,"402093024500000005-0000     7D",515000,468080.042028851,c(-73.8592631495645, 40.7336443755107)
"144",2,2300,2,"205864052600000001-0000     3A",150000,158072.540277647,c(-73.8968637022303, 40.9065727426753)
"145",3,3400,6,"306587005100000001-0000     2L",515000,471015.129228603,c(-73.9689209698582, 40.6121107403917)
"146",1,1200,4,"101312006900000001-0000    15E",625000,699057.073566117,c(-73.9700527431492, 40.7619262155636)
"147",3,3400,3,"306587005100000001-0000     4G",312000,344300.984848508,c(-73.9689209698582, 40.6121107403917)
"148",1,1280,3,"101117001600000001-0000     6D",510000,611864.623727004,c(-73.9808940912678, 40.7719130807251)
"149",3,3480,1,"307422001300000005-0000     5F",225000,276910.206244081,c(-73.9397295910659, 40.5928165961418)
"150",4,4220,10,"402219000100000001-0000    310",570000,535649.972331789,c(-73.8450350597, 40.7247205292429)
"151",1,1270,8,"101391002900000001-0000      7",1300000,1184008.06705831,c(-73.9626044405602, 40.7742196648088)
"152",1,1271,1,"101535000600000002-0000     5B",310000,329487.748206737,c(-73.9518165283825, 40.7806774107768)
"153",1,1271,4,"101512005200000001-0000     6B",675000,720285.572734091,c(-73.9564317921127, 40.777886860602)
"154",1,1280,8,"101150005500000001-0000     6E",1501500,1761110.0111843,c(-73.977471991497, 40.782475267393)
