"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"13323",4,4370,2,"403337006000000001-0000     1J",231500,251501.381970483,c(-73.8307988796195, 40.7100855610017)
"13324",3,3230,6,"305156004800000001-0000     4F",544000,572035.637364049,c(-73.9656056289654, 40.6392729143911)
"13325",1,1280,9,"101125002400000001-0000    12C",2425000,2412003.18919789,c(-73.9768470867773, 40.7770766339652)
"13326",1,1120,7,"100532002000000001-0000   PH21",1175000,963418.875846147,c(-73.9959366120402, 40.7271279257018)
"13327",4,4220,9,"402215000100000001-0000     3T",480000,466249.766588106,c(-73.844887377177, 40.7224968875754)
"13328",1,1120,7,"100568000600000001-0000     5D",980000,1187934.08224384,c(-73.9947759732903, 40.7337442647897)
"13329",1,1281,10,"101206002900000001-0000    16A",3450000,3101592.82089312,c(-73.9667863030385, 40.7894070613523)
"13330",1,1110,3,"100880004200000001-0000    14J",560000,566477.426060093,c(-73.9827619452082, 40.739870819936)
"13331",1,1271,8,"101499004000000001-0000     6E",1650000,2201860.10237787,c(-73.9568418868331, 40.7814799391574)
"13332",4,4470,1,"403163001500000001-0000     4R",180000,173483.215334531,c(-73.8562184673877, 40.7211888508641)
"13333",2,2300,6,"205724068500000001-0000     2M",270000,243955.117094366,c(-73.9161092813232, 40.8790129522971)
"13334",1,1120,10,"100551000100000001-0000    M10",2999000,3779494.57727542,c(-73.9970660283273, 40.73199801556)
"13335",3,3150,8,"301902000100000002-0000     6H",725000,711099.630224274,c(-73.9681310607595, 40.6922421297711)
"13336",1,1280,4,"101186008700000001-0000    4WR",610000,720240.525190596,c(-73.9821322648666, 40.7844427494877)
"13337",1,1220,3,"100890004900000001-0000     6C",500000,429315.421205432,c(-73.9780468556265, 40.7463543673728)
"13338",1,1270,3,"101452001900000001-0000     4F",549000,508705.606820252,c(-73.9541387944996, 40.7714792302433)
"13339",1,1271,5,"101550000700000001-0000     3R",770000,741289.719223993,c(-73.9501616302749, 40.7783429638404)
"13340",1,1270,2,"101421003700000001-0000    11A",437000,449814.787318877,c(-73.9621178649675, 40.7659749647744)
"13341",3,3320,5,"305305005100000002-0000     4C",425000,362471.975483115,c(-73.9814943176559, 40.6460259428968)
"13342",4,4320,9,"401281001300000001-0000     42",435000,395349.696059459,c(-73.8848825939116, 40.7512669119686)
"13343",1,1201,2,"101333001800000001-0000   10LS",425000,382534.204744619,c(-73.9716420422141, 40.7482961634848)
"13344",1,1201,4,"101338000500000001-0000    22G",685000,760604.36859123,c(-73.9699269796242, 40.7517689843256)
"13345",1,1100,8,"100842000700000001-0000   1106",1647500,1604610.92716695,c(-73.9925097137662, 40.735852530367)
"13346",3,3150,7,"301918001300000001-0000     3J",625000,623463.598224937,c(-73.9658252067532, 40.6905674108978)
"13347",3,3320,8,"305339000100000001-0000     6A",721000,668084.613625627,c(-73.9737154361681, 40.6449126918737)
"13348",1,1291,6,"102179001000000005-0000    108",925000,766060.862757627,c(-73.9400594375885, 40.8534031928776)
"13349",4,4470,4,"403149001900000001-0000     6D",285000,252487.64759879,c(-73.859069709701, 40.7149380659584)
"13350",3,3440,6,"301164004200000001-0000     1D",556500,595565.471914828,c(-73.9701857319159, 40.6767107632707)
"13351",1,1270,8,"101382006900000001-0000     8M",1515000,1468735.17299062,c(-73.9687182153447, 40.769471047801)
"13352",4,4370,2,"403322012300000001-0000     1K",220000,202084.180526083,c(-73.8328778021958, 40.7052642113631)
"13353",1,1201,1,"101347000900000001-0000     8E",327000,325802.637648704,c(-73.9656539047811, 40.7571869769557)
"13354",2,2190,1,"203250004000000001-0000     3B",130000,179201.231251392,c(-73.9011102111311, 40.8728975384952)
"13355",3,3420,9,"300976000800000001-0000     1R",1150000,1045929.66966377,c(-73.9802423675451, 40.672038084288)
"13356",3,3250,6,"302068000100000003-0000    10C",510000,534911.418915285,c(-73.978429084813, 40.6927283860604)
"13357",4,4060,8,"404602011000000031-0000     4A",410000,392721.01252353,c(-73.7956113444416, 40.7922247657995)
"13358",4,4210,9,"405294002200000001-0000     4J",478000,426075.830548738,c(-73.7984982318329, 40.7625918334545)
"13359",3,3520,7,"305268003300000001-0000     2A",650000,677474.540754254,c(-73.974348806125, 40.6545590498149)
"13360",3,3060,6,"300185004800000001-0000      3",500000,519631.878621775,c(-73.9823154133543, 40.6853931576806)
"13361",1,1270,9,"101446002300000001-0000  C2201",2025000,2506490.19756009,c(-73.9567296656672, 40.7676355726799)
"13362",1,1202,6,"101046003800000001-0000     9A",930000,765758.480968649,c(-73.9841794586199, 40.7661424712365)
"13363",3,3020,2,"305938001500000001-0000     3G",250000,272307.938924932,c(-74.0322721101019, 40.6322694111291)
"13364",3,3201,3,"300086001100000004-0000     4J",290000,312669.568236538,c(-73.9878532443117, 40.6978012627673)
"13365",1,1120,8,"100551000100000001-0000    T02",1575000,1610302.2919344,c(-73.9970660283273, 40.73199801556)
"13366",1,1230,7,"100506002700000001-0000     5G",1220000,1119511.90142576,c(-74.0038968697425, 40.7266662088498)
"13367",4,4170,3,"401527000100000001-0000     7R",268000,254477.71394492,c(-73.8835399846691, 40.7418441315445)
"13368",2,2300,6,"205743020300000001-0000     3C",280000,364092.613093049,c(-73.9196951823237, 40.8799648870647)
"13369",1,1060,3,"101066003700000001-0000     4N",515000,494997.627098168,c(-73.9866209331722, 40.7679490557796)
"13370",2,2300,7,"205909097000000001-0000   A608",325000,369829.143053883,c(-73.9090838059461, 40.8923666977092)
"13371",5,5160,2,"500597012000000004-9000      B",177000,195830.033755157,c(-74.0948964780467, 40.6188385739308)
"13372",1,1281,7,"101209003700000001-0000    04C",1125000,1243162.70229777,c(-73.9654918644439, 40.7917016982464)
"13373",4,4210,8,"405042005700000001-0000     4B",400000,390174.994306843,c(-73.8298117832724, 40.7565357258835)
"13374",1,1121,4,"100608003900000001-0000     3L",690000,709984.181321546,c(-73.9979723151567, 40.7364771133765)
"13375",4,4310,3,"411451005000000002-0000     97",269000,290664.33842623,c(-73.8433301102016, 40.6668981200134)
"13376",3,3090,5,"300235004400000001-0000     6E",399000,389273.621053782,c(-73.9949761594258, 40.6977143388278)
"13377",4,4240,10,"408489000100000003-0000    18V",684575,919040.290551286,c(-73.7142119283782, 40.7567797984328)
"13378",1,1090,2,"100064000800000001-0000    21D",400000,402165.27541167,c(-74.0093794091113, 40.7088441435633)
"13379",4,4440,8,"40775400030000003-18000  288B2",405000,358368.827440674,c(-73.7527434776046, 40.7387611497005)
"13380",1,1281,2,"101211002900000001-0000     3E",442500,534413.286780011,c(-73.9751989419211, 40.7828879529497)
"13381",3,3350,1,"308821001000000002-0000     5H",180000,202950.402457593,c(-73.9331520505384, 40.5981335984033)
"13382",1,1271,1,"101548001400000003-0000     3C",292500,293383.991670255,c(-73.9507601284509, 40.7768206587841)
"13383",1,1270,8,"101466003700000001-0000    20B",1650000,1765697.27312813,c(-73.9553445154595, 40.7672166447406)
"13384",3,3230,6,"305216006000000001-0000     6J",479995,474047.233542731,c(-73.9486079735396, 40.6388427014765)
"13385",4,4560,6,"400178002500000020-0000     7B",345000,354122.080467567,c(-73.9228462131897, 40.7390886448708)
"13386",3,3090,8,"300252000800000001-0000     3P",765000,761766.860450391,c(-73.9982421327046, 40.6942034165488)
"13387",4,4440,2,"407844000200000022-9000      A",239000,274721.595115537,c(-73.7439990984253, 40.7372618720672)
"13388",1,1271,3,"101542003300000001-0000     2O",585000,635914.638086139,c(-73.9533116295293, 40.7732432673136)
"13389",4,4320,2,"401439000100000001-0000     2K",219000,262615.273135218,c(-73.8763676882794, 40.7555627768896)
"13390",2,2300,9,"205795051800000001-0000     5D",492000,533216.536075574,c(-73.9116176951152, 40.8864492861277)
"13391",1,1280,2,"101166000600000001-0000     1A",479750,495196.961928345,c(-73.9828092293331, 40.7810729422591)
"13392",1,1110,8,"100897000100000001-0000     7E",1450000,970568.521119674,c(-73.9862282624743, 40.7340419852064)
"13393",3,3420,1,"301080003500000001-0000     3K",238349,257920.35258772,c(-73.9766539751782, 40.669317074116)
"13394",1,1120,2,"100577002400000001-0000   02PN",400000,416813.585198967,c(-73.9953195395231, 40.7362755052141)
"13395",1,1180,6,"100315000100000005-0000  E1007",810000,712666.917887581,c(-73.9859018520821, 40.7150585343655)
"13396",3,3420,10,"300953007800000001-0000     1L",1330000,1203120.56102116,c(-73.9797299847637, 40.6763953982982)
"13397",1,1270,10,"101376001500000001-0000     7F",6900000,7068061.01383082,c(-73.9705703725554, 40.765266654866)
"13398",3,3090,10,"300242002600000001-0000      3",1610000,1381101.9895205,c(-73.9948805690517, 40.6954804414969)
"13399",4,4170,1,"402864001700000001-0000     5E",200000,232837.240465296,c(-73.8800589459529, 40.7355007139768)
"13400",1,1280,9,"101186008700000001-0000     6W",1999999,2060554.60689955,c(-73.9821322648666, 40.7844427494877)
"13401",1,1201,6,"101363004000000004-0000     6A",865000,789554.342911282,c(-73.9644599723464, 40.7545546908563)
"13402",2,2190,2,"203258001300000001-0000     3M",160000,169108.858115265,c(-73.8987855907266, 40.8789260744349)
"13403",1,1281,7,"101247004700000001-0000     4A",1080000,1062712.80198174,c(-73.97936857016, 40.7892101865364)
"13404",4,4220,4,"402238000100000001-0000    601",277500,274824.257003283,c(-73.8388198110717, 40.7197173474705)
"13405",4,4210,7,"404411000100000001-0000     6B",360000,357971.985075907,c(-73.8292906621451, 40.7689430787856)
"13406",3,3400,6,"305377004300000001-0000     3B",489000,515119.565933836,c(-73.9703253641332, 40.6390872034742)
"13407",1,1160,2,"100940004800000001-0000     5G",408888,470025.793943414,c(-73.9743894817805, 40.7447741873309)
"13408",4,4050,4,"406216000100000001-0000     1D",285000,260659.605511503,c(-73.7767589094974, 40.7628119958219)
"13409",1,1201,1,"101333002300000001-0000   1815",260000,282194.08200064,c(-73.9708763719043, 40.7479861107679)
"13410",1,1270,5,"101408004000000001-0000    10G",772500,863310.443617955,c(-73.9600967476058, 40.7710051500532)
"13411",1,1280,5,"101138005300000001-0000     9G",730000,757034.142500217,c(-73.9832294704406, 40.7748765757229)
"13412",2,2280,1,"204343000100000003-0000     3G",100000,92213.2995468942,c(-73.8668583335157, 40.8585640557776)
"13413",1,1060,6,"101054000200000001-0000     5E",850000,705372.511025052,c(-73.9940885489094, 40.7609484511149)
"13414",1,1281,6,"101251000800000001-0000   002B",825000,808536.234441569,c(-73.9767602957778, 40.7920112073667)
"13415",2,2300,8,"205795051800000001-0000    10A",326000,330492.302287117,c(-73.9116176951152, 40.8864492861277)
"13416",3,3520,10,"305268001800000001-0000     C3",1450000,1241187.30962273,c(-73.9749255604863, 40.6548015679077)
"13417",1,1230,5,"100517000900000001-0000     3C",698000,518756.193320508,c(-74.0015204788935, 40.7271282806878)
"13418",1,1270,4,"101411002300000001-0000     1J",675000,589017.435201168,c(-73.9595305233796, 40.7729206060344)
"13419",3,3150,8,"301902002200000007-0000     6A",689000,710546.417150777,c(-73.968270174522, 40.6929433111155)
"13420",3,3200,7,"300271004700000001-0000    11A",675000,786924.501903586,c(-73.9902206194749, 40.6902850178814)
"13421",1,1120,9,"100566000100000001-0000     6P",1885000,1799897.89041579,c(-73.9956685088496, 40.7323565186422)
"13422",3,3150,7,"301905008000000002-0000    903",650000,601930.391081338,c(-73.9642897086189, 40.6926747148287)
"13423",4,4460,2,"4079140002000002-106000   2028",225000,258407.687301875,c(-73.7438653541695, 40.7326859961419)
"13424",4,4220,10,"403253005100000001-0000     4C",540000,437957.959038321,c(-73.8453551877167, 40.718533397627)
"13425",1,1270,10,"101387006900000001-0000     3A",12500000,12470650.5299612,c(-73.9663178373452, 40.7728320296687)
"13426",1,1271,1,"101519004600000001-0000     7B",250000,413625.910769629,c(-73.9528224182584, 40.7822475634987)
"13427",4,4210,4,"404772000100000004-0000     2B",295000,326435.274293687,c(-73.8255802117498, 40.7734546581917)
"13428",1,1271,5,"101582000500000001-0000    PHA",807000,697483.379052691,c(-73.9468618717967, 40.7751765371651)
"13429",1,1201,1,"101335002200000001-0000   1419",295000,305616.51695192,c(-73.969992974262, 40.7493465828214)
"13430",1,1030,7,"100773001200000002-0000    5GW",990000,909725.677584491,c(-73.9972019831324, 40.7452226567823)
"13431",4,4440,5,"40774200030000002-26000  123A1",323000,331850.39079845,c(-73.7533622250934, 40.7408888582161)
"13432",1,1271,9,"101583001200000001-0000   17GH",1940000,1082028.34598092,c(-73.945842685859, 40.7757496606905)
"13433",4,4350,1,"409954004900000001-0000     4D",182000,170676.217093352,c(-73.7762062053503, 40.7147971188887)
"13434",1,1110,8,"100898000100000001-0000    12C",1300000,1385676.85362831,c(-73.9852643051331, 40.7353660998806)
"13435",3,3430,8,"301024002400000001-0000     4R",785000,868635.197541415,c(-73.9837847121921, 40.6660184135241)
"13436",1,1230,8,"100515003700000001-0000     3R",1425000,1710030.20388549,c(-74.0001022670507, 40.7256320116259)
"13437",3,3090,4,"300238006500000001-0000     8B",375000,450254.038705885,c(-73.9921062471539, 40.6955522550626)
"13438",3,3400,2,"306540002700000002-0000     4C",265000,273410.153024279,c(-73.9711118866384, 40.6178690535899)
"13439",4,4240,5,"40840103500000001-63000   165B",310000,308672.98092725,c(-73.7217556618658, 40.7508521895601)
"13440",1,1190,5,"101836003600000001-0000     5D",703668,697802.231983018,c(-73.9627790109546, 40.7948218060561)
"13441",1,1121,7,"100611006500000001-0000     2B",1020000,914783.534692468,c(-74.0004280738568, 40.7348775597802)
"13442",3,3480,2,"307392000100000004-0000     3D",255000,269549.440661874,c(-73.9350931790732, 40.5978135844333)
"13443",1,1271,10,"101503001400000001-0000    11A",2780000,2809998.49083696,c(-73.9566487500764, 40.7843559233584)
"13444",4,4220,6,"402219000100000001-0000    108",348800,365450.21119904,c(-73.8450350597, 40.7247205292429)
"13445",1,1110,6,"100898000100000001-0000    30A",880000,1023255.09583971,c(-73.9852643051331, 40.7353660998806)
"13446",1,1110,6,"100875004700000001-0000     3F",815000,791323.528117125,c(-73.9849897295365, 40.7368649539903)
"13447",1,1030,2,"100771003800000001-0000     4K",449000,532664.301857578,c(-73.9967813446248, 40.7431043950571)
"13448",1,1140,2,"102248000900000001-0000     5C",410000,438365.758596171,c(-73.926092215674, 40.8683014212638)
"13449",4,4590,8,"401238002500000002-0000     7E",396000,442288.39198104,c(-73.9109902048487, 40.7466916351949)
"13450",4,4590,9,"400128000700000003-0000     3G",441448,354854.767342281,c(-73.9125552266127, 40.7475645954707)
"13451",4,4320,8,"401268001300000001-0000     4H",413000,451462.439347351,c(-73.8851799996353, 40.7529269687416)
"13452",2,2310,1,"204174002400000001-0000     3E",135000,153518.664656389,c(-73.8265224645303, 40.84556515526)
"13453",1,1220,1,"100895006600000001-0000     5E",370000,402931.73619805,c(-73.9764977080552, 40.7497086811463)
"13454",1,1110,3,"100904005000000001-0000   1405",560000,541588.210851612,c(-73.9825127349164, 40.7391502583434)
"13455",1,1271,1,"101527004000000002-0000    5RE",310000,376715.437947496,c(-73.9551704040085, 40.7756893265993)
"13456",2,2300,3,"205722044500000001-0000     5M",170000,157424.340289621,c(-73.9168597790226, 40.878087619241)
"13457",2,2200,9,"202461009400000001-0000    12G",465000,346371.34845116,c(-73.9201361445309, 40.8301511750641)
"13458",1,1201,4,"101342002300000001-0000     4M",600000,636082.257806945,c(-73.9669844017543, 40.7536593436906)
"13459",3,3090,4,"300226001800000001-0000     1G",370000,472751.343720539,c(-73.9928794907159, 40.698664215992)
"13460",1,1110,9,"100899000100000001-0000    09J",2060000,753860.744492361,c(-73.9847733696393, 40.7359194764212)
"13461",1,1280,6,"101117001600000001-0000     6B",865000,769299.949757846,c(-73.9808940912678, 40.7719130807251)
"13462",1,1140,3,"102250007200000001-0000     E6",575000,543474.710146122,c(-73.9177071167916, 40.8724346980119)
"13463",3,3020,4,"306115004200000001-0000     B3",349000,339789.74706501,c(-74.0369814926134, 40.6172359827519)
"13464",1,1120,9,"100564005400000001-0000    20E",2105000,2093774.20574035,c(-73.9902790069765, 40.7330984591866)
"13465",1,1220,4,"100889001500000001-0000    10B",677500,688332.869965417,c(-73.9805050100197, 40.746076050017)
"13466",3,3010,3,"306462004000000014-0000     B3",315000,296993.721904414,c(-74.0095693617474, 40.6023303663428)
"13467",1,1270,1,"101489003700000003-0000     5E",370000,361633.298352515,c(-73.9500131212496, 40.7700681792284)
"13468",1,1272,10,"101602000100000001-0000     7D",2550000,2874279.05366066,c(-73.9552076181915, 40.7879783725704)
"13469",1,1271,4,"101504014200000001-0000     3B",640000,731048.317342969,c(-73.9547501005308, 40.7847044981973)
"13470",1,1120,8,"100551000100000001-0000    Q07",1545000,1474145.64539689,c(-73.9970660283273, 40.73199801556)
"13471",1,1271,5,"101589004100000001-0000    11F",699000,736207.759637958,c(-73.9463515788784, 40.7719743858416)
"13472",1,1220,4,"100893002000000001-0000     6H",625000,568611.357235015,c(-73.9783478808212, 40.7487752207542)
"13473",1,1271,8,"101565002900000001-0000    28H",1275000,1249578.53085725,c(-73.9478840306659, 40.7758797850368)
"13474",4,4440,2,"407732000200000011-1000   113P",240000,240181.069841464,c(-73.760419107419, 40.7391261677651)
"13475",1,1120,5,"100542001100000001-0000     3J",795000,698701.483697878,c(-74.0013563194923, 40.7302440226405)
"13476",4,4140,1,"401949009000000001-0000     4D",140000,160164.028665619,c(-73.8564912302819, 40.737712624465)
"13477",1,1202,6,"101046002800000001-0000     4D",925000,845686.217632296,c(-73.984199513666, 40.7657998759693)
"13478",2,2290,1,"204293001000000002-0000     6D",120000,160960.10687972,c(-73.8636224292957, 40.8531377714141)
"13479",1,1281,9,"101246002900000001-0000     6C",2300000,2211137.81426801,c(-73.9789831043816, 40.7878844318971)
"13480",1,1271,3,"101566002900000001-0000     5B",512000,402051.492065298,c(-73.9473252888126, 40.7766465317196)
"13481",1,1110,5,"100899000800000001-0000     4A",770000,807556.214822076,c(-73.9842132565635, 40.7355430993876)
"13482",4,4210,3,"404374004900000002-0000     1L",255000,276205.360509166,c(-73.8295657095697, 40.7698226978259)
"13483",4,4470,6,"403151004300000001-0000     4N",348000,331685.585970481,c(-73.8571241412172, 40.7202961793113)
"13484",3,3090,9,"300241000800000001-0000     1C",948000,1032140.78359068,c(-73.9965811390734, 40.6956535158236)
"13485",1,1281,6,"101249002200000001-0000     9E",875000,784456.814299534,c(-73.9781875873337, 40.7901518482951)
"13486",3,3060,8,"300195006800000001-0000      A",735000,744365.056296683,c(-73.9880650540644, 40.6859959235705)
"13487",4,4320,7,"401439000100000003-0000     1D",370000,321563.679893007,c(-73.8763676882794, 40.7555627768896)
"13488",4,4560,9,"400159002100000001-0000     1F",430000,355416.570009801,c(-73.9211655077436, 40.7466305396504)
"13489",1,1271,8,"101500004500000001-0000     6F",1350000,1488557.27229176,c(-73.9569360229363, 40.7822113745752)
"13490",1,1271,8,"101525000100000001-0000     8A",1655000,1586494.06150402,c(-73.9566879111742, 40.7745262959125)
"13491",1,1201,1,"101335002200000001-0000   1905",340000,306738.083023252,c(-73.969992974262, 40.7493465828214)
"13492",2,2300,6,"205738035300000002-0000     3K",265000,248236.669688453,c(-73.9107363815698, 40.8808264967887)
"13493",1,1110,4,"100896003900000001-0000     7H",625000,757377.319083597,c(-73.9860524328762, 40.7334596219646)
"13494",1,1271,1,"101578001300000002-0000     4C",370000,434641.896195791,c(-73.9481972245472, 40.772420392398)
"13495",1,1202,10,"101011004200000001-0000    9AB",3475000,3357913.760499,c(-73.9773766355816, 40.7658369424124)
"13496",1,1120,9,"100569000500000001-0000     2A",2375000,2253483.60417651,c(-73.994349941067, 40.7343852040614)
"13497",2,2360,1,"203987005800000001-0000     2D",120000,147987.600804815,c(-73.8454790867844, 40.8409828256988)
"13498",1,1030,6,"100764006200000001-0000     6G",950000,1221941.15947021,c(-74.0013203326581, 40.7398924554815)
"13499",1,1270,1,"101438000100000001-0000     6A",315000,387815.103864947,c(-73.9620581137389, 40.7631698428634)
"13500",4,4440,8,"407732000200000011-1000   113H",415000,333709.501454646,c(-73.760419107419, 40.7391261677651)
"13501",4,4590,2,"401222000900000001-0000     1N",210000,232427.283149341,c(-73.8978633712819, 40.7472505834313)
"13502",2,2020,2,"205259001600000001-0000     5I",165000,164127.944468425,c(-73.8361178286264, 40.8804201960037)
"13503",1,1271,6,"101566001000000001-0000     7F",899000,889619.421687773,c(-73.9481558735966, 40.7766772149342)
"13504",1,1270,7,"101446000800000001-0000     4G",1025000,940217.82170222,c(-73.9578560426862, 40.767941372055)
"13505",4,4060,8,"404574006100000002-0000     3J",395000,360457.489631229,c(-73.7985361889984, 40.7950180292556)
"13506",2,2300,8,"205745000100000001-0000    10F",339000,359817.052464716,c(-73.9215120128349, 40.8826191665746)
"13507",3,3350,2,"308818004300000001-0000     5B",240000,259277.911763988,c(-73.9334147115192, 40.6006897541768)
"13508",1,1281,10,"101196002900000001-0000    818",3100000,3567165.67506016,c(-73.9714122541113, 40.7830961901671)
"13509",4,4320,9,"401279005800000001-0000     6F",450000,459134.741993495,c(-73.8870615023608, 40.75083948091)
"13510",4,4170,7,"401520000500000001-0000     5E",352254,317158.011322334,c(-73.8902506024562, 40.7420427049618)
"13511",4,4211,8,"406633000100000041-0000     2C",415000,347307.922640547,c(-73.818506364122, 40.7179359079829)
"13512",1,1282,10,"101876000700000001-0000     3D",2750000,1861967.97061032,c(-73.9685529929486, 40.8001670682997)
"13513",4,4440,8,"407840000200000014-7000      B",390000,353592.319677382,c(-73.7456870753844, 40.7379550860608)
"13514",1,1291,1,"102177011800000001-0000     1H",315000,354672.102593992,c(-73.9400322375676, 40.8510829963767)
"13515",4,4220,7,"402186000200000049-0000     3B",350000,336437.057007567,c(-73.8454307520133, 40.731418144555)
"13516",1,1201,1,"101345001700000001-0000     2K",330000,454139.738178707,c(-73.9658635562357, 40.7556427395561)
"13517",2,2300,9,"205904008600000001-0000     4F",510000,501623.074821204,c(-73.9102431827412, 40.8892827643628)
"13518",4,4210,6,"405137006700000001-0000     6M",340000,391859.563665656,c(-73.824834075958, 40.754868946199)
"13519",1,1220,7,"100891002300000001-0000    10A",1110000,918341.631031057,c(-73.9792876242597, 40.7474934189983)
"13520",1,1070,5,"100466004800000001-0000      2",735000,892530.870739163,c(-73.9880552802972, 40.7305363380754)
"13521",2,2300,9,"205907036200000002-0000     1E",450000,474326.446438531,c(-73.9121956861633, 40.8894678966852)
"13522",4,4210,1,"404769000100000004-0000     6G",200000,236663.653653278,c(-73.8253918478172, 40.7752092527648)
"13523",1,1201,8,"101370001500000001-0000    10G",1600000,1641038.85231749,c(-73.9609455031165, 40.7587362412668)
"13524",1,1270,2,"101472001400000001-0000     2B",480000,495804.042804426,c(-73.9522223415302, 40.7706734056689)
"13525",1,1270,9,"101409006100000001-0000     2C",1865000,2128900.35182119,c(-73.961552573061, 40.7724480473681)
"13526",4,4470,5,"402093024500000004-0000    17L",305000,301799.548577704,c(-73.8592631495645, 40.7336443755107)
"13527",1,1271,7,"101533002200000001-0000    14B",1120000,1435822.60759556,c(-73.9514040655957, 40.7788975786594)
"13528",4,4320,10,"401446000100000001-0000    621",630000,481854.201211541,c(-73.8817279673962, 40.7537910426566)
"13529",1,1270,5,"101402003300000001-0000    14F",750000,871619.490970233,c(-73.9631135826381, 40.7668449053855)
"13530",1,1201,2,"101367000100000001-0000     4A",495000,490631.433764296,c(-73.9631217477455, 40.7570988822293)
"13531",1,1282,7,"101893003500000001-0000    12F",985000,1236248.31031278,c(-73.967967290959, 40.8043891208536)
"13532",1,1280,8,"101144002400000001-0000    16C",1300000,1189954.98442737,c(-73.9794196120151, 40.7779938420238)
"13533",4,4040,7,"400557000300000011-0000     7D",370000,465774.920511969,c(-73.9317116636673, 40.7626039028715)
"13534",1,1280,10,"101143000100000001-0000     4E",3875000,3455991.24859679,c(-73.9815741621844, 40.7779466591226)
"13535",1,1280,10,"101125002400000001-0000    35F",3518156,1949763.05622459,c(-73.9768470867773, 40.7770766339652)
"13536",1,1270,4,"101444002300000001-0000    15E",640000,705410.793483566,c(-73.9575751129503, 40.7661865052324)
"13537",1,1280,3,"101138000100000001-0000     7V",550000,497133.910985828,c(-73.983759425779, 40.7748586948902)
"13538",1,1201,8,"101370001500000001-0000    16F",1330000,1353686.94407989,c(-73.9609455031165, 40.7587362412668)
"13539",4,4210,5,"404285001000000008-0000     1C",312000,310677.05584402,c(-73.827187333436, 40.7746679600832)
"13540",1,1202,7,"101030002900000001-0000    19F",1050000,1524739.21771387,c(-73.9797371614472, 40.7666774312235)
"13541",3,3440,10,"301164004200000001-0000     5F",1237771,1193648.51029244,c(-73.9701857319159, 40.6767107632707)
"13542",4,4560,6,"400169003200000002-0000     3A",344000,334481.355907556,c(-73.921943871676, 40.7427255849884)
"13543",3,3420,10,"301095004400000001-0000     3L",1595000,1537793.5161185,c(-73.9778386275902, 40.6638821279059)
"13544",2,2300,3,"205792044500000001-0000     3C",190000,234226.034393803,c(-73.9083288067619, 40.8855799401667)
"13545",1,1271,7,"101514000800000001-0000    21F",995000,984911.926926751,c(-73.9566227640344, 40.7794844129062)
"13546",1,1282,8,"101879000100000001-0000    12A",1525000,1601979.36111977,c(-73.9672445110495, 40.8022190873479)
"13547",1,1120,6,"100568002400000001-0000     3B",925000,951335.872068747,c(-73.9939775098703, 40.7329763422259)
"13548",1,1180,5,"100315000100000005-0000  E1407",735688,731830.2375153,c(-73.9859018520821, 40.7150585343655)
"13549",1,1220,6,"100864004100000001-0000    16A",847552,805663.018003822,c(-73.9812864251185, 40.7477314618161)
"13550",4,4440,3,"407748050000000006-0000    51C",250000,227843.138774955,c(-73.7584927466073, 40.7372933036104)
"13551",4,4470,4,"403082008200000001-0000     6K",299000,295409.956812322,c(-73.8614185907479, 40.7290186065703)
"13552",1,1281,2,"101210001900000001-0000    14E",400000,408864.054141501,c(-73.9764159526131, 40.7826487990619)
"13553",1,1110,3,"100881004700000001-0000     5B",550000,528497.806224549,c(-73.9822426964866, 40.7407510357646)
"13554",3,3340,7,"308726000100000001-0000     4D",575000,475678.029718196,c(-73.9534247671229, 40.5814458386897)
"13555",1,1110,5,"100873001900000001-0000    04H",710000,720927.090174614,c(-73.9866710658313, 40.7360759547587)
"13556",1,1140,1,"102240003700000001-0000     3A",330000,349924.607107383,c(-73.9233963411584, 40.8681267412757)
"13557",1,1282,5,"101880000700000001-0000     8C",760000,804608.860729169,c(-73.9667189630175, 40.8028153435969)
"13558",4,4190,1,"40874301020000001-59000   241B",175000,279429.362924768,c(-73.7019819646011, 40.7438725447607)
"13559",1,1281,8,"101197005200000001-0000     7B",1700000,1219840.41538935,c(-73.9721632239374, 40.784515659748)
"13560",1,1030,3,"100797007600000001-0000     2B",580000,519343.121931977,c(-73.9958173363925, 40.7430835791953)
"13561",3,3020,6,"305916006200000001-0000     2F",500000,485456.481010962,c(-74.031740770769, 40.6333860004119)
"13562",4,4370,3,"403322013500000001-0000    111",260000,226597.508259782,c(-73.8333924161757, 40.7046105349433)
"13563",4,4220,10,"402133003600000001-0000    16F",665000,499012.351170725,c(-73.849768210313, 40.7286882504757)
"13564",4,4440,3,"40763600070000002-53000   194B",270000,257622.140987568,c(-73.7603879652191, 40.7409365865241)
"13565",1,1090,10,"100065001700000001-0000   PHAB",2650000,1530550.75189102,c(-74.009503825818, 40.7098320578559)
"13566",4,4560,9,"400177000100000001-0000     5F",475000,506593.785763798,c(-73.92195714688, 40.7386545460736)
"13567",4,4560,2,"400125002800000001-0000     L5",230000,270845.415865501,c(-73.9169026986479, 40.749584160875)
"13568",1,1271,8,"101543001400000001-0000     5G",1525000,1233620.21265459,c(-73.9530743115225, 40.7736452165876)
"13569",3,3420,8,"301066003000000001-0000     6D",790000,868481.312807258,c(-73.9712692793558, 40.6725719050472)
"13570",1,1280,7,"101185000100000001-0000    12C",1050000,1508335.2479558,c(-73.9843449073585, 40.7825582960147)
