bbl,GROSSCON,COOPUNITKEY,geometry
1013350022,435000,101335002200000001-0000    307,"c(-73.969992974262, 40.7493465828214)"
4079290002,310000,40792900020000001-82000    810,"c(-73.7422140338675, 40.732514357082)"
4005570003,410000,400557000300000009-0000     6A,"c(-73.9317116636673, 40.7626039028715)"
1014460023,720000,101446002300000001-0000   B211,"c(-73.9567296656672, 40.7676355726799)"
2059200510,430000,205920051000000001-0000     5D,"c(-73.914550243174, 40.8902618620637)"
4001280007,365000,400128000700000004-0000     3D,"c(-73.9125552266127, 40.7475645954707)"
1015000020,4350000,101500002000000001-0000    14A,"c(-73.9573835293937, 40.7822075992142)"
4059580100,370000,405958010000000002-0000     4C,"c(-73.774863980502, 40.7815730330188)"
1015250001,1650000,101525000100000001-0000    15H,"c(-73.9566879111742, 40.7745262959125)"
4084010675,260000,40840106750000002-24000    13A,"c(-73.7234374600889, 40.7512949406207)"
1011640002,649000,101164000200000001-0000    15B,"c(-73.9839864755539, 40.7799134726523)"
4021350036,300000,402135003600000001-0000     6J,"c(-73.8494155230112, 40.7272884966218)"
1015550023,580000,101555002300000001-0000    21H,"c(-73.9467014930952, 40.7811837062279)"
1013740001,550000,101374000100000001-0000    911,"c(-73.9725395754201, 40.7643091798447)"
4083370001,330000,40833700010000002-50000    198,"c(-73.7298551227286, 40.7596036895046)"
1008930041,775000,100893004100000001-0000    14C,"c(-73.976863552401, 40.7480943446224)"
1011240046,450000,101124004600000001-0000   707B,"c(-73.9774645727474, 40.7765438940751)"
4038800097,400000,403880009700000002-0000    16E,"c(-73.8548589985539, 40.7060068502733)"
4020860050,280000,402086005000000004-0000     1M,"c(-73.8598809796084, 40.7322696134384)"
4058780003,265000,405878000300000002-0000     5J,"c(-73.7819471174009, 40.780451839894)"
1008960032,575000,100896003200000001-0000     2G,"c(-73.9855062677019, 40.7332291377081)"
4077540003,330000,40775400030000003-46000  244A2,"c(-73.7527434776046, 40.7387611497005)"
2057450001,320000,205745000100000001-0000     8G,"c(-73.9215120128349, 40.8826191665746)"
4084010350,250000,40840103500000001-12000   136B,"c(-73.7217556618658, 40.7508521895601)"
4005570003,500000,400557000300000014-0000    12A,"c(-73.9317116636673, 40.7626039028715)"
1013040029,300000,101304002900000001-0000     3G,"c(-73.9717738688169, 40.7556786406004)"
4058780003,280000,405878000300000001-0000     5A,"c(-73.7819471174009, 40.780451839894)"
1021790010,660000,102179001000000003-0000    073,"c(-73.9400594375885, 40.8534031928776)"
4064820003,270000,4064820003000001-155000      A,"c(-73.8317254055871, 40.7305432797394)"
1015000045,1150000,101500004500000001-0000     8B,"c(-73.9569360229363, 40.7822113745752)"
1011790019,1100000,101179001900000001-0000   11FE,"c(-73.9876459074926, 40.7766080155806)"
4077480500,435000,407748050000000020-0000  20E2H,"c(-73.7584927466073, 40.7372933036104)"
4031650062,175000,403165006200000001-0000     5J,"c(-73.855669239336, 40.7222629918699)"
1013840063,1800000,101384006300000001-0000     7D,"c(-73.9670172755252, 40.770490537349)"
1015550023,650000,101555002300000001-0000    30I,"c(-73.9467014930952, 40.7811837062279)"
4064940003,370000,40649400030000004-67000      A,"c(-73.8291927436338, 40.729559793319)"
4012380006,335000,401238000600000001-0000     3H,"c(-73.9118126841336, 40.7466022177993)"
4084890001,565000,408489000100000002-0000    14D,"c(-73.7142119283782, 40.7567797984328)"
1015560023,540000,101556002300000001-0000     2J,"c(-73.9462546867286, 40.7817804681218)"
1008420007,770000,100842000700000001-0000    818,"c(-73.9925097137662, 40.735852530367)"
3012490007,995000,301249000700000001-0000     4A,"c(-73.9470652815704, 40.6720999856142)"
4097550050,130000,409755005000000001-0000     2T,"c(-73.8022212059293, 40.7048411163029)"
4012650058,395000,401265005800000004-0000     5C,"c(-73.8883455851847, 40.7526780380109)"
4074740050,330000,407474005000000001-0000     6A,"c(-73.7592219927824, 40.7608192791283)"
4084890001,560000,408489000100000003-0000    25H,"c(-73.7142119283782, 40.7567797984328)"
1018790036,665000,101879003600000001-0000    12G,"c(-73.9651835133026, 40.8016667096343)"
4096310232,235000,409631023200000001-0000     3G,"c(-73.8267299583887, 40.7112277958349)"
1011970052,1050000,101197005200000001-0000     8B,"c(-73.9721632239374, 40.784515659748)"
4043430010,310000,404343001000000004-0000     5D,"c(-73.8282012079768, 40.7720074453794)"
3059410006,225000,305941000600000001-0000     68,"c(-74.0248445212958, 40.6304865103941)"
3012490007,740000,301249000700000001-0000     3F,"c(-73.9470652815704, 40.6720999856142)"
4059380003,335000,405938000300000001-0000    11L,"c(-73.7759418410701, 40.7856046529617)"
1012510062,1995000,101251006200000001-0000    10D,"c(-73.9755433217473, 40.792603004173)"
4020860050,330000,402086005000000002-0000     4M,"c(-73.8598809796084, 40.7322696134384)"
3010800035,230000,301080003500000001-0000     6G,"c(-73.9766539751782, 40.669317074116)"
1014830038,375000,101483003800000001-0000     3G,"c(-73.9528275583435, 40.7659770206187)"
1008880037,600000,100888003700000001-0000    14A,"c(-73.9792260203021, 40.7447617755381)"
2032260053,265000,203226005300000007-0000     5F,"c(-73.9077536434926, 40.864591539613)"
1021800326,345000,102180032600000002-0000     4G,"c(-73.9340788973006, 40.8550920851554)"
3019440004,715000,301944000400000012-0000     9D,"c(-73.967106055987, 40.6873085495432)"
1013670001,1400000,101367000100000001-0000    31D,"c(-73.9631217477455, 40.7570988822293)"
4014210001,195000,401421000100000004-0000   C102,"c(-73.87675473101, 40.7577059487531)"
3019440004,710000,301944000400000009-0000     6B,"c(-73.967106055987, 40.6873085495432)"
3000860011,815000,300086001100000002-0000     3G,"c(-73.9878532443117, 40.6978012627673)"
2059090970,530000,205909097000000001-0000  A1409,"c(-73.9090838059461, 40.8923666977092)"
4020930245,440000,402093024500000005-0000    10H,"c(-73.8592631495645, 40.7336443755107)"
1018910062,850000,101891006200000001-0000     7B,"c(-73.9695540475457, 40.8017519833242)"
4020860050,550000,402086005000000004-0000     6J,"c(-73.8598809796084, 40.7322696134384)"
1007420060,985000,100742006000000001-0000     15,"c(-74.0021424884319, 40.7433863484684)"
4058780003,285000,405878000300000002-0000     3F,"c(-73.7819471174009, 40.780451839894)"
3074750001,260000,307475000100000002-0000    R5S,"c(-73.9392557804184, 40.588492775307)"
2052590016,185000,205259001600000001-0000     0A,"c(-73.8361178286264, 40.8804201960037)"
1008420007,750000,100842000700000001-0000   1002,"c(-73.9925097137662, 40.735852530367)"
4014420001,370000,401442000100000003-0000     6W,"c(-73.8735782426736, 40.7557424330517)"
4067150002,230000,406715000200000001-0000    94E,"c(-73.8125568418903, 40.7171201503759)"
3000860011,580000,300086001100000003-0000     4H,"c(-73.9878532443117, 40.6978012627673)"
2032260053,170000,203226005300000003-0000    10D,"c(-73.9077536434926, 40.864591539613)"
1013040029,300000,101304002900000001-0000     7G,"c(-73.9717738688169, 40.7556786406004)"
1015700012,400000,101570001200000001-0000     7J,"c(-73.9462412368972, 40.7791521534642)"
4077420003,323000,40774200030000002-98000   31A2,"c(-73.7533622250934, 40.7408888582161)"
4114660001,270000,411466000100000003-3000   0160,"c(-73.8473749344947, 40.6647600151762)"
3088190011,215000,308819001100000001-0000     1J,"c(-73.9328810656955, 40.6015428457008)"
4083370001,330000,40833700010000002-86000    358,"c(-73.7298551227286, 40.7596036895046)"
4105240150,225000,410524015000000008-2000     1B,"c(-73.7653843600694, 40.7209000737693)"
2059090977,500000,205909097700000002-0000   B404,"c(-73.9093031524166, 40.8913868177129)"
4076700002,340000,407670000200000007-2000      A,"c(-73.7525580081948, 40.7459999083849)"
4012260001,400000,401226000100000001-0000    404,"c(-73.9083791719475, 40.7468364237166)"
4014740012,435000,401474001200000001-0000   006F,"c(-73.8797559186061, 40.7491560508466)"
2032520268,220000,203252026800000001-0000     6H,"c(-73.8927148831618, 40.8835036658428)"
1009050006,415000,100905000600000001-0000    316,"c(-73.9817044398237, 40.7393394085525)"
1013300038,520000,101330003800000001-0000     3H,"c(-73.9667975189131, 40.7596297479267)"
3050860066,495000,305086006600000001-0000     2G,"c(-73.9574085338363, 40.6515816805776)"
4043740049,290000,404374004900000001-0000     4L,"c(-73.8295657095697, 40.7698226978259)"
4014340029,280000,401434002900000001-0000     4K,"c(-73.880900823988, 40.7544526319102)"
3019020001,825000,301902000100000004-0000     8A,"c(-73.9681310607595, 40.6922421297711)"
4077480500,230000,407748050000000007-1000    63O,"c(-73.7584927466073, 40.7372933036104)"
3020610060,660000,302061006000000003-0000     9J,"c(-73.9801493406542, 40.6924486506999)"
1018870016,480000,101887001600000001-0000     3F,"c(-73.9733301896094, 40.7956121282206)"
1013670001,540000,101367000100000001-0000    27A,"c(-73.9631217477455, 40.7570988822293)"
4043400010,270000,404340001000000003-0000     4E,"c(-73.8310512966612, 40.7707796940356)"
4033220024,265000,403322002400000004-0000     2G,"c(-73.8329831364134, 40.706009586921)"
1009080047,599000,100908004700000001-0000     2A,"c(-73.9803164868935, 40.7414963299221)"
4050280007,280000,405028000700000001-0000     4V,"c(-73.8162699332547, 40.7637580048426)"
4092340044,155000,409234004400000001-0000     3A,"c(-73.8331015874303, 40.7034421674529)"
4084890001,265000,408489000100000001-0000     5P,"c(-73.7142119283782, 40.7567797984328)"
1013120028,430000,101312002800000001-0000     5A,"c(-73.9680535857936, 40.7607793824496)"
3069330055,350000,306933005500000002-0000     4D,"c(-73.9916166814721, 40.5893031258185)"
1014440008,525000,101444000800000001-0000     7A,"c(-73.9587364788459, 40.7666784790225)"
4014700012,275000,401470001200000001-0000     5A,"c(-73.8835586483569, 40.7492521104154)"
1021790170,862500,102179017000000001-0000    A33,"c(-73.939046294224, 40.8531410348812)"
4021510101,230000,402151010100000005-0000     4A,"c(-73.8502617581199, 40.7308778174249)"
1013340022,285000,101334002200000001-0000   1407,"c(-73.970510856595, 40.7486411257224)"
2057880119,379000,205788011900000001-0000     4F,"c(-73.9117708380265, 40.8841983279902)"
4105380010,230000,410538001000000002-0000    B68,"c(-73.763529181017, 40.7231585548236)"
1015790049,490000,101579004900000001-0000     2D,"c(-73.94824331055, 40.7735785091686)"
4014570048,225000,401457004800000001-0000     1I,"c(-73.8832040885849, 40.750474612206)"
4020930245,270000,402093024500000005-0000    14B,"c(-73.8592631495645, 40.7336443755107)"
4022340006,375000,402234000600000001-0000    718,"c(-73.8405398336723, 40.7223753198179)"
4083580001,265000,40835800010000002-11000    810,"c(-73.7264747810909, 40.7586543831382)"
