NEIGHBORHOOD,block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
1070,431,prediction,GROSSCON,14,1.009,0.8924542784276718,0.7116817714296804,5.854869525015952,1.0097584253950989,-0.1695964465661521,1.3224603929968526,0.10144057623049209,0.07050050443338966,-0.030940071797102425,0.6949931383788598,TRUE,TRUE,TRUE
1070,436,prediction,GROSSCON,3,,,,,,,,,,,,,,
1070,442,prediction,GROSSCON,1,,,,,,,,,,,,,,
1070,443,prediction,GROSSCON,5,1.0204,0.8309169368427665,0.08999999999999996,15.089120223066493,1.0504689028788479,-0.24860053053493125,1.2219389337004527,0.20614562458249833,0.12563685822321718,-0.08050876635928114,0.6094568268313549,TRUE,FALSE,FALSE
1070,444,prediction,GROSSCON,2,,,,,,,,,,,,,,
1070,445,prediction,GROSSCON,2,,,,,,,,,,,,,,
1070,447,prediction,GROSSCON,2,,,,,,,,,,,,,,
1070,450,prediction,GROSSCON,1,,,,,,,,,,,,,,
1070,451,prediction,GROSSCON,1,,,,,,,,,,,,,,
1070,452,prediction,GROSSCON,6,0.9667,0.9197461087097288,1,9.240205858040033,1.0232781917411153,-0.24024676678332108,1.3296240434720221,0.1473639288293612,0.1079697763397968,-0.03939415248956439,0.7326743878063912,TRUE,TRUE,TRUE
1070,455,prediction,GROSSCON,2,,,,,,,,,,,,,,
1070,461,prediction,GROSSCON,4,,,,,,,,,,,,,,
1070,466,prediction,GROSSCON,5,1.2832,0.24609529675319997,0.6399999999999997,23.587575757290722,1.234639298227024,-0.3204846693976182,1.728631927967485,0.30412064456407445,0.10946725722506923,-0.19465338733900522,0.3599468144689067,FALSE,FALSE,FALSE
1070,467,prediction,GROSSCON,4,,,,,,,,,,,,,,
1070,468,prediction,GROSSCON,2,,,,,,,,,,,,,,
1080,759,prediction,GROSSCON,4,,,,,,,,,,,,,,
1080,761,prediction,GROSSCON,3,,,,,,,,,,,,,,
1080,763,prediction,GROSSCON,1,,,,,,,,,,,,,,
1080,779,prediction,GROSSCON,5,0.9731,0.37548379892065487,0.3599999999999998,33.5072184066102,1.1270396590746465,-0.5142154956460895,1.4315654565698301,0.21117880794701982,0.12048867158538208,-0.09069013636163774,0.570552854032636,TRUE,FALSE,FALSE
1080,786,prediction,GROSSCON,3,,,,,,,,,,,,,,
1080,804,prediction,GROSSCON,4,,,,,,,,,,,,,,
1080,830,prediction,GROSSCON,1,,,,,,,,,,,,,,
1080,831,prediction,GROSSCON,3,,,,,,,,,,,,,,
1080,832,prediction,GROSSCON,2,,,,,,,,,,,,,,
1080,836,prediction,GROSSCON,3,,,,,,,,,,,,,,
1080,837,prediction,GROSSCON,7,1.061,0.445989119186181,0.46883116883116865,12.915685398973874,1.0301719679180252,-0.9447565075504003,7.337656102128692,0.10220408163265304,0.010909532718493662,-0.09129454891415938,0.10674263242935095,TRUE,TRUE,FALSE
1080,841,prediction,GROSSCON,6,0.9972,0.45291267682181513,0.2946938775510204,17.32294637590778,1.0341434743352564,-0.43253726415465205,1.4056160256902046,0.1250751912004812,0.06959137612170026,-0.05548381507878093,0.5563963201155796,TRUE,FALSE,FALSE
1090,28,prediction,GROSSCON,4,,,,,,,,,,,,,,
1090,64,prediction,GROSSCON,7,1.032,0.9212740518600643,0.9298469387755098,10.933263875532118,1.0601846362347278,-0.050383693044076465,1.118583416177703,0.38547689439727356,0.3414485804051071,-0.044028313992166446,0.8857822229241301,TRUE,TRUE,FALSE
1090,65,prediction,GROSSCON,7,0.9306,0.5018206946757264,0.41661157024793394,35.85515880210301,1.1894183367173252,-0.8182049379484428,1.9494543096640866,0.24418370227006975,0.058737518636175476,-0.18544618363389426,0.24054643323906671,TRUE,FALSE,FALSE
1100,816,prediction,GROSSCON,41,0.9778,0.9632620089421764,0.8618347228828407,9.835171523477904,1.0199270332726391,-0.04755365252953978,1.0903786638523387,0.27815143711532814,0.25419462296303164,-0.0239568141522965,0.9138713270700685,TRUE,TRUE,TRUE
1100,817,prediction,GROSSCON,54,1.0195,0.9035823055020856,0.9076088248038068,9.088929928619855,1.0221262689785033,-0.049184181846061076,1.1085734166365468,0.23823047527303093,0.2116753760691218,-0.026555099203909138,0.8885318967966844,TRUE,TRUE,TRUE
1100,818,prediction,GROSSCON,3,,,,,,,,,,,,,,
1100,822,prediction,GROSSCON,4,,,,,,,,,,,,,,
