"","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMNS","COLUMN_NAMES","PREFIX","first_col","PRIMARY_KEYS"
"27","IAS","IAS","AASYSJUR",40,"WEN, WHO, IASW_ID, APRVALSUM_IND, COUNTYCD, PW_EXPIRE_DAYS, SS_EXT_DATE, LD_CARD_IND, LD_TAXYR_IND, LD_PARID_IND, LD_JUR_IND, CB_IND, EDMS_IND, MAILDAT_IND, ASMTOWN_IND, SEAM_IND, LATEST_OWNER, NATRSRC, DISP_OWNER, COUNTRY_CODE, CAMA_ROLLTYPE, TAXDIST_REQ, EXREMOVE, LEGADD_INC, COMNT_INC, IE_ROLLTYPE, DEF_CLASS, BASE_VER, AAPSWD, SHOW_HIDDEN, MAX_TAXYR, MIN_TAXYR, PPYEAR, DUPYR, THISYEAR, EXAUTO_CASE, DISPLAY_JUR, JUR_LABEL, DEFAULT_JUR, JUR",NA,NA,NA
"28","IAS","IAS","AASYSJUR_AUD",42,"WEN, WHO, IASW_ID, APRVALSUM_IND, COUNTYCD, PW_EXPIRE_DAYS, SS_EXT_DATE, LD_CARD_IND, LD_TAXYR_IND, LD_PARID_IND, LD_JUR_IND, CB_IND, EDMS_IND, MAILDAT_IND, ASMTOWN_IND, SEAM_IND, LATEST_OWNER, NATRSRC, DISP_OWNER, COUNTRY_CODE, CAMA_ROLLTYPE, TAXDIST_REQ, EXREMOVE, LEGADD_INC, COMNT_INC, IE_ROLLTYPE, DEF_CLASS, BASE_VER, AAPSWD, SHOW_HIDDEN, MAX_TAXYR, MIN_TAXYR, PPYEAR, DUPYR, THISYEAR, EXAUTO_CASE, DISPLAY_JUR, JUR_LABEL, DEFAULT_JUR, JUR, AUD_SEQ, AUD_OP",NA,NA,NA
"29","IAS","IAS","AA_OVER",28,"OLDCLASS, APPRVDATE, STATUS, OWN1, REQDATE, WEN, WHO, TAXYR, PARID, ROLLTYPE, JUR, UPD_STATUS, TRANS_ID, IASW_ID, USER5, USER4, USER3, USER2, USER1, NOTE2, NOTE1, NEWTOTAL, NEWBLDG, NEWLAND, NEWCLASS, OLDTOTAL, OLDBLDG, OLDLAND",NA,NA,NA
"30","IAS","IAS","AA_OVER_IASW",28,"UPD_STATUS, TRANS_ID, IASW_ID, USER5, USER4, USER3, USER2, USER1, NOTE2, NOTE1, NEWTOTAL, NEWBLDG, NEWLAND, NEWCLASS, OLDTOTAL, OLDBLDG, OLDLAND, OLDCLASS, APPRVDATE, STATUS, OWN1, REQDATE, WEN, WHO, TAXYR, PARID, ROLLTYPE, JUR",NA,NA,NA
"31","IAS","IAS","ABATEDET_NYC",17,"UPDATED, CYCLE, APTAXCREDIT, TAXCREDIT, PROCDATE, PROCNAME, APPSEQ, TCSUBCODE, TCCODE, STATUS, COOPID, COOPUNITKEY, UNITNO, BLDGNO, TAXYR, CONDOID, PARID",NA,NA,NA
"32","IAS","IAS","ABATEMENT_NYC",101,"RSNBL_COST, PCT_CRC, ICIP_APPCT, RENEW_DT, RENEW_STAT, CURTXYRATE, MINTXYRATE, ADJBLDGTXB, NEWBLDGTXB, SQFTROOF, INSTALLDT, COOP_ELIG, UNIT_ELIG, OWNER_RNDT, OWNER_STAT, TENANTRNDT, TENANTSTAT, ENTITYNAME, ENTITYID, TENANT, BLDGSQFT, PCT2_MOS, PCT1_MOS, NO_YEARS, LEASEAREA, SUBLSENDDT, SUBLSBEGDT, LEASEENDDT, LEASEBEGDT, APPLID, COMMPCT, PARTPCT, COOPID, CYENDDT, CYBEGDT, YRENDDT, YRBEGDT, APPSTAT, APPSEQ, TCSUBCODE, TCCODE, CASENO, TAXYR, CONDOID, PARID, CYCLE, EXTRACTDT, APPLIC_PCT, REMAIN_POOL, ABTPYRLIM, ORGPRIORPL, PRYABTPOOL, ORGABTPOOL, ABTYRCERT, ACTABTPCYC, YRABTPCT, ADJTAXCHG, NEWBLDGTAX, ABTRATE, MAXTAXINC, PRECNSTTAX, BLDGAV_ORG, ABTXUAF, BLDG_UAF, ELIG_ABT, CALCED_ABT, MAX_ABT, RATE_PSF, RATE_PCT, REMAIN_TAX, TOT_OTHABT, UNIT_TAX, AVG_UNITAV, NET_AV, ABT_PCT2, ABT_PCT1, ABT_YEAR1, LSAREATAX, APPLIEDRATE, CALCEDRATE, CALCTXPSF, SQFTBLDG, BASEYRTAX, APPLIEDABT, ACTABTPYR, YEARABTPCT, CALCB4PHAS, ELIGIBLEPCT, BASETXBXRT, BASEYRRATE, BASEYRTXBL, BASEYREXMP, ADJBASE_AV, PARTELIGAV, BASEYRVALU, TAXLESSABT, NET_TAXES, ASSESS_VAL, INSTALLCOST, CERT1434FLG, APPYR1TAX",NA,NA,NA
"33","IAS","IAS","ABPARAM",27,"REAS14, REAS13, REAS12, REAS11, REAS10, REAS9, REAS8, REAS7, REAS6, REAS5, REAS4, REAS3, REAS2, REAS1, CLASS9, CLASS8, CLASS7, CLASS6, CLASS5, CLASS4, CLASS3, CLASS2, CLASS1, AFTE, BEFOR, DIST2, DIST1",NA,NA,NA
"34","IAS","IAS","ABSDAT",19,"DEACTIVAT, ABSTYPE, ABSDT, ABSVAL, TIFNAME, TIFSTID, TIFPROJ, VALCLASS, WEN, WHO, CUR, SEQ, ITEMNO, SUBDIST, SCHDIST, CITY, TAXDIST, TAXYR, JUR",NA,NA,NA
"35","IAS","IAS","ABSDATM",13,"DEACTIVAT, WEN, WHO, CUR, SEQ, ABSTYPE, ABSDT, ABSVAL, ITEMNO, CITY, VALCLASS, TAXYR, JUR",NA,NA,NA
"36","IAS","IAS","ABSDATM_ALL",13,"WEN, ABSTYPE, ABSVAL, VALCLASS, TAXYR, SEQ, WHO, ITEMNO, DEACTIVAT, CUR, JUR, ABSDT, CITY",NA,NA,NA
"37","IAS","IAS","ABSDATM_HIST",13,"DEACTIVAT, WEN, WHO, CUR, SEQ, ABSTYPE, ABSDT, ABSVAL, ITEMNO, CITY, VALCLASS, TAXYR, JUR",NA,NA,NA
"38","IAS","IAS","ABSDAT_ALL",19,"TIFPROJ, ABSVAL, ITEMNO, TAXDIST, WEN, SUBDIST, ABSDT, TAXYR, TIFNAME, DEACTIVAT, ABSTYPE, WHO, SEQ, JUR, TIFSTID, SCHDIST, CUR, CITY, VALCLASS",NA,NA,NA
"39","IAS","IAS","ABSDAT_HIST",19,"SCHDIST, CITY, TAXDIST, TAXYR, JUR, DEACTIVAT, ABSTYPE, ABSDT, ABSVAL, TIFNAME, TIFSTID, TIFPROJ, VALCLASS, WEN, WHO, CUR, SEQ, ITEMNO, SUBDIST",NA,NA,NA
"40","IAS","IAS","ABSLEASE",81,"USER10, USER9, USER8, USER7, USER6, USER5, USER4, USER3, USER2, USER1, UPD_STATUS, TRANS_ID, IASW_ID, DEACTIVAT, WALLHGT, ELECTRIC, ETPA, RENTPERROOMPERMO, RENTPERMO, ROOMCOUNT, UNITS, SIZETIER, QCNTRL, INFOSOURCE, TXNO, REMARKS, LSERENEWALTERMS, RENEWALOPTION, RUBREMOVAL, FIREINSUR, PLOTMAINT, HVAC, CAM, RETAXES, CLEANING, STRUCTURALREPAIRS, GRSRENTPERSFLND, GRSRENTBLDGPERSF, MISCRENTPERSF, ELECTRICITYPERSF, INSURANCEPERSF, CAMPERSF, RETAXESPERSF, BASERENTPERSF, RENTINCR, MINRENT, GRSRENTALSF, LEASETERM, LEASESTARTDT, LEASESIGNDT, TADDR2, TADDR1, TNAME, LLADDR1, LLNAME, GRSLANDSF, LANDBUILDRATIO, PARKING, GRSBUILDSF, USE, DESCRIP, LOTS, BLOCK, SECTION, TOWN, COMM, ADDRESS, SGROUP, PGROUP, LSESTARTYR, LUC, SEQID, LLINE, WEN, WHO, CUR, SEQ, TAXYR, PARID, JUR, LLADDR2",NA,NA,NA
"41","IAS","IAS","ABSLEASE_ALL",81,"ELECTRICITYPERSF, RETAXESPERSF, RENTINCR, DEACTIVAT, PARKING, GRSRENTALSF, RENEWALOPTION, JUR, LSERENEWALTERMS, RENTPERMO, USER8, TOWN, INSURANCEPERSF, SIZETIER, SEQ, LLNAME, PGROUP, LEASESIGNDT, SECTION, CAMPERSF, USER10, LANDBUILDRATIO, RUBREMOVAL, UNITS, USER9, LOTS, RETAXES, WALLHGT, BASERENTPERSF, GRSRENTPERSFLND, FIREINSUR, USER5, LLADDR2, USER4, USER2, DESCRIP, TADDR1, TXNO, LUC, ETPA, CAM, LSESTARTYR, TNAME, COMM, ROOMCOUNT, GRSRENTBLDGPERSF, RENTPERROOMPERMO, MINRENT, ELECTRIC, REMARKS, LLINE, MISCRENTPERSF, PLOTMAINT, LEASESTARTDT, CLEANING, WEN, USER6, TADDR2, WHO, USE, LLADDR1, CUR, LEASETERM, STRUCTURALREPAIRS, TRANS_ID, USER3, SEQID, INFOSOURCE, GRSLANDSF, TAXYR, USER7, USER1, PARID, GRSBUILDSF, UPD_STATUS, QCNTRL, IASW_ID, HVAC, SGROUP, ADDRESS, BLOCK",NA,NA,NA
