"","DATABASE","SCHEMA","TABLE_NAME","PREFIX","COLS","RECORDS","PRIMARY_KEYS"
"187","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_9_20_13_PARCEL_DETAIL_REPORT",,21,,
"188","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_ABUTTERS_LISTING_REPORT","rem",15,,
"189","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_ASSESSED_BY_MAP","REM",16,,
"190","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_ASSESSED_BY_OWNER","REM",8,,
"191","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_ASSESSED_VALUE_BY_LOCATION_REPORT","REM",15,,
"192","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_Assessed_Value_By_Map_REPORT","REM",16,,
"193","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_BETTERMENTS","REM",17,,
"194","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_BUILDING_PERMITS","REM",14,,
"195","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_CIA_REPORT","rem",13,,
"196","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_COMM_PCT_CHANGE_ANALYSIS_2014_REPORT","rem",23,,
"197","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_CONDO_PCT_CHANGE_ANALYSIS_2014_PARK_REPORT","prc",16,,
"198","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_DATACOLLECTIONNONENTRYSTATUS_REPORT",,9,,
"199","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_DATA_CHECK_NO_CURRENT_ASSESSMENT","REM",11,,
"200","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_DOCUMENTSVIEW","DOC",14,,
"201","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_DUPLICATEMBLULIST_REPORT","REM",5,,
"202","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_EXEMPTIONS","REM",9,,
"203","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_EXEMPT_PARCELS","REM",9,,
"204","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_MISSING_IMAGES_REPORT","REM",14,,
"205","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_PARCELS_ON_OVERRIDE","REM",12,,
"206","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_PCT_CHANGE_ANALYSIS_2014_REPORT","REM",24,,
"207","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_REVIEWEDPARCELS_REPORT","rem",12,,
"208","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_SPECIAL_CONDITION_REPORT_REPORT","REM",15,,
"209","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_SPECIAL_USE_REPORT_REPORT","REM",16,,
"210","V8_NEWYORK_NY_LIVE","COMPS","VW_RPT_USERAUDITLOG_REPORT","AUD",6,,
