NBHD_NAME,NEIGHBORHOOD,NBHD,boro,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
KINGSBRIDGE HTS/UNIV HTS,2180,KBG/UNI HT,2,prediction,GROSSCON,55,1.0368,0.719921970896586,0.7232237353531614,11.718722633163937,1.025871092980773,-0.10050333966059692,1.0769321218986163,0.16586331603707344,0.13161349118625584,-0.034249824850817595,0.7935057270701007,TRUE,TRUE,TRUE
KINGSBRIDGE/JEROME PARK,2190,KBG/JER PK,2,prediction,GROSSCON,77,1.0398,0.6443180178720821,0.5259850454995857,16.379834737935717,1.0384334560414936,-0.16406352428806667,1.300410485446536,0.17831211344562564,0.1103883568575499,-0.06792375658807574,0.6190737955176088,TRUE,FALSE,FALSE
MELROSE/CONCOURSE,2200,MEL/CONCRS,2,prediction,GROSSCON,77,1.0724,0.44410782167356644,0.39684409415273647,23.641080529050594,1.0804706470642598,-0.2546522921501628,1.2892609473670529,0.19251717260800108,0.1006680918804978,-0.09184908072750328,0.5229044792044385,TRUE,FALSE,FALSE
MORRIS PARK/VAN NEST,2210,MOR PK/VAN,2,prediction,GROSSCON,18,0.9254,0.5221863901304616,0.3272091157738067,11.17961636729412,1.0083187370894617,0.04816754538671626,1.07042311931668,0.11281010374379798,0.07746773317812898,-0.035342370565668996,0.6867091741539859,TRUE,TRUE,TRUE
PARKCHESTER,2250,PARKCHESTR,2,prediction,GROSSCON,8,1.198,0.8706579102055615,0.5874928284566839,9.325331787144604,0.9943381652544744,0.11911058279317766,0.8852570529416296,0.1335551330798479,0.1341851581386415,6.300250587936151e-4,1.0047173406537429,FALSE,TRUE,TRUE
PELHAM PARKWAY NORTH,2280,PEL PKWY N,2,prediction,GROSSCON,6,,,,,,,,,,,,,,
PELHAM PARKWAY SOUTH,2290,PEL PKWY S,2,prediction,GROSSCON,67,1.0072,0.5169680760985925,0.39134433636111793,15.937216635313826,1.0500902413172268,-0.3493859925621062,1.3861891815135077,0.16654429484016708,0.0795346244588094,-0.08700967038135768,0.4775583849037816,TRUE,FALSE,FALSE
RIVERDALE,2300,RIVERDALE,2,prediction,GROSSCON,792,0.9982,0.7313836378407725,0.77825654184746,16.436194321899862,1.05720840826335,-0.12540967391548505,1.1681245423403568,0.2606112105154288,0.20123054039433813,-0.05938067012109066,0.7721484428714736,TRUE,FALSE,FALSE
SCHUYLERVILLE/PELHAM BAY,2310,SCHUY/PELM,2,prediction,GROSSCON,36,1.0076,0.524201168288944,0.4371746733672811,21.95817822729791,1.073757726673268,-0.4157154462572085,1.776243264081003,0.18428268230362932,0.081405770836364,-0.10287691146726533,0.44174400881704967,TRUE,FALSE,FALSE
VAN CORTLANDT PARK,2340,VN CORT PK,2,prediction,GROSSCON,12,0.8976,0.7744188667454003,0.8615507299717826,10.565397752274468,1.0170124331510677,-0.08306640891231598,1.0718197921883585,0.16708343152400648,0.14057793165529064,-0.026505499868715837,0.8413636850347574,FALSE,TRUE,TRUE
