block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
1493,prediction,GROSSCON,7,0.8784,0.9033729623939486,0.7346938775510199,21.9838429671064,1.1385680479400557,-0.1455561162345922,1.1224175007979735,0.4078962737997899,0.361832021427183,-0.04606425237260686,0.8870687100338238,FALSE,FALSE,FALSE
1494,prediction,GROSSCON,17,0.9528,0.8127252436792217,0.7872212610534413,19.411266811049984,1.0929808451926435,-0.21111727668300745,1.3506981598368537,0.2784943404737055,0.19225232406045165,-0.08624201641325388,0.6903275798475461,TRUE,FALSE,FALSE
1495,prediction,GROSSCON,14,1.1682,0.7933740014247417,0.6792657891558992,13.942490872138974,1.0082576176944817,0.08573529688428014,0.8652594988315468,0.17419615558211327,0.1607132098953866,-0.013482945686726672,0.9225990628686921,FALSE,TRUE,TRUE
1496,prediction,GROSSCON,14,1.0965,0.4437960033518474,0.5930193154862758,31.586207736935968,1.2266055465759007,-0.1372414922388116,1.3435831929558635,0.3707226111396538,0.18507094357541728,-0.18565166756423654,0.4992167675084155,TRUE,FALSE,FALSE
1497,prediction,GROSSCON,30,1.1003,0.7952345385081557,0.7078003327777128,22.48877924439595,1.1737301302902763,-0.17713085438299112,1.2855717119209313,0.3753822274583977,0.24910575072812005,-0.12627647673027767,0.6636056065167005,FALSE,FALSE,FALSE
1498,prediction,GROSSCON,41,1.046,0.4536429809231245,0.5508938941000076,22.93564194720044,1.0242432545873281,0.057314786877078444,0.8997989146989885,0.2336187941446047,0.19740747187451205,-0.03621132227009266,0.8449982485241376,TRUE,FALSE,TRUE
1499,prediction,GROSSCON,55,1.0852,0.9344364660189657,0.8636093929985518,18.679641819376798,1.1466644650937705,-0.0815229943002327,1.118984901339298,0.48421289416835384,0.39844855847624544,-0.0857643356921084,0.8228788685204046,TRUE,FALSE,FALSE
1500,prediction,GROSSCON,27,1.088,0.6219765295971166,0.7718860001119843,23.25625311986188,1.1006100204736078,-0.10860961658561663,1.2602406049516466,0.31652991174326306,0.22925273877444616,-0.0872771729688169,0.7242687982056897,TRUE,FALSE,FALSE
1501,prediction,GROSSCON,22,0.9243,0.6967483673578767,0.5374741200828158,27.48679787621937,1.0927510803712432,-0.0685008869694907,1.2227086334500206,0.2840862726496354,0.18993521199054184,-0.09415106065909354,0.6685828576616569,TRUE,FALSE,FALSE
1502,prediction,GROSSCON,11,1.0941,0.9070090975036871,0.8938842975206611,18.129396557767762,1.0864645777195456,-0.18899177477081328,1.351176752734317,0.3113541906083821,0.25667960548911933,-0.054674585119262764,0.8243974651106211,TRUE,FALSE,FALSE
1503,prediction,GROSSCON,10,0.8809,0.2932987636833041,0.745158906134516,25.836967385821545,1.0058184214709098,0.3351014242909558,0.8892363489772835,0.1864699847239258,0.1988989670694016,0.012428982345475792,1.0666540642660387,FALSE,FALSE,TRUE
1504,prediction,GROSSCON,15,1.1218,0.61196093439213,0.6526450293892154,25.46872249211654,1.0487448831293973,0.010644605559564034,1.07038010745523,0.4171284721032983,0.35086864320281513,-0.06625982890048315,0.8411524666096768,FALSE,FALSE,TRUE
1505,prediction,GROSSCON,13,1.1306,0.9536668043284904,0.6975003018959064,17.31359000980271,1.1877396888036789,-0.10035348698378013,1.1981137142620304,0.5055984822798417,0.4085828607535156,-0.09701562152632615,0.8081172611736018,FALSE,FALSE,FALSE
1506,prediction,GROSSCON,10,1.3078,0.7264799916902862,0.882460973370064,23.53122757984219,1.135874257885697,-0.08457118635413993,1.2485296823598155,0.41248460418766103,0.338411555313615,-0.07407304887404603,0.8204222700143584,FALSE,FALSE,FALSE
1507,prediction,GROSSCON,34,1.0447,0.8652829491704177,0.8670656037476114,20.35357384019973,1.1308323115342864,-0.11427623022925741,1.183015386570112,0.3968960104326102,0.3054794500236383,-0.09141656040897189,0.7696712539152779,TRUE,FALSE,FALSE
1508,prediction,GROSSCON,33,1.0767,0.8762240053546172,0.6927737881194509,23.26146510056199,1.1049366578947255,-0.09488500923534827,1.1765987652083616,0.47294234162923554,0.4193236534966665,-0.05361868813256904,0.8866274312681364,TRUE,FALSE,FALSE
1509,prediction,GROSSCON,21,0.8836,0.8323498461530315,0.6948060046257719,19.721673722663564,1.030743693964919,-0.05441107078178049,0.9525019275033931,0.22759501094386486,0.21326061209264138,-0.014334398851223479,0.9370179566248973,FALSE,FALSE,FALSE
1510,prediction,GROSSCON,14,1.1291,0.9024932951047743,0.6435213138509842,29.954350010312286,1.1663638798199685,-0.05230363447298882,1.0614264148584271,0.4427605804309884,0.34035058091926046,-0.10240999951172797,0.7687011806425025,FALSE,FALSE,FALSE
1511,prediction,GROSSCON,21,1.1122,0.5156963521209651,0.8482433953202865,17.74521188488692,1.0489691573482454,0.030530303745288593,1.0058700299150976,0.3131343126448845,0.24829388233723565,-0.06484043030764886,0.7929309319059445,FALSE,FALSE,TRUE
1512,prediction,GROSSCON,22,0.9513,0.9606198724103244,0.9160143615008217,16.85010778604242,1.0816221213812887,-0.07878360613258589,1.1353421731824156,0.4485448836010936,0.4039201019988582,-0.04462478160223543,0.9005121154343123,TRUE,FALSE,FALSE
1513,prediction,GROSSCON,18,0.9725,0.8480306544088038,0.47097270280661285,26.418064208717663,1.19187461626672,-0.0731791643595089,1.07831935377277,0.4203558323781511,0.27550480847661046,-0.14485102390154064,0.655408554504763,TRUE,FALSE,FALSE
1514,prediction,GROSSCON,22,1.0891,0.9488535230454388,0.8377779145215865,15.074722068208112,1.0714629470272736,-0.10305528855971818,1.1375377821050676,0.34221058650055675,0.2866539796822408,-0.05555660681831592,0.8376537459391966,TRUE,FALSE,FALSE
1515,prediction,GROSSCON,10,1.0009,0.8252007667286663,0.882460973370064,14.506276748438168,1.0721631027350527,-0.07795527391545015,1.0493203650001415,0.3286466561348078,0.27240957641742175,-0.05623707971738606,0.8288828482882292,TRUE,TRUE,FALSE
1516,prediction,GROSSCON,12,0.9254,0.5127819496689804,0.46965621790796613,36.01198819096624,1.187178536615463,-0.14786556681611987,1.4055851976143217,0.3672956286136439,0.2267285334825083,-0.1405670951311356,0.6172916741162817,TRUE,FALSE,FALSE
1517,prediction,GROSSCON,4,,,,,,,,,,,,,,
