boro,borodecile,predicted,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity,actual
1,10,unlogpred,1001,0.9807,0.877148462,0.859480866,7.639700417,1.0030249,0.023364205,0.97976431,0.177457728,0.171870025,-0.005587703,0.968512485,TRUE,TRUE,TRUE,jitterg
2,1,unlogpred,83,1.1025,0.060333642,0.067579045,9.452264666,1.003322306,0.516079352,0.745671119,0.0406652,0.013746093,-0.026919107,0.338030873,FALSE,TRUE,TRUE,jitterg
2,2,unlogpred,83,1.0384,0.004376018,0.003145524,7.055200722,1.000401173,1.18276197,0.224746886,0.01307142,0.004456743,-0.008614677,0.34095324,TRUE,TRUE,TRUE,jitterg
2,3,unlogpred,82,1.0334,0.010650205,0.026876427,6.193803756,1.000097166,1.28300056,0.203425684,0.008600981,0.004475107,-0.004125874,0.520301898,TRUE,TRUE,TRUE,jitterg
2,4,unlogpred,82,0.9797,6.08E-05,0.000467675,6.806594209,1.000276952,1.305927907,0.231295461,0.009274231,-0.002242497,-0.011516728,-0.241798686,TRUE,TRUE,TRUE,jitterg
2,5,unlogpred,82,0.9829,0.015890509,0.019513731,6.72106777,1.000842831,1.286882588,0.39418506,0.013546547,-0.00928312,-0.022829667,-0.68527574,TRUE,TRUE,TRUE,jitterg
2,6,unlogpred,82,0.9498,0.143885571,0.153166499,7.063934911,1.000098489,0.788967288,0.423807974,0.022549384,0.021218503,-0.001330881,0.940979286,TRUE,TRUE,TRUE,jitterg
2,7,unlogpred,82,0.9222,0.006597023,0.00018538,6.838633659,1.001049531,1.133073015,0.406966426,0.01678175,-0.0040631,-0.02084485,-0.24211421,TRUE,TRUE,TRUE,jitterg
2,8,unlogpred,82,0.9168,0.015751267,0.026005735,8.262243353,1.000297326,1.168624713,0.278774679,0.01441566,0.007557485,-0.006858175,0.524255187,TRUE,TRUE,TRUE,jitterg
2,9,unlogpred,82,0.9243,0.452348185,0.495597243,8.078061349,0.999506275,0.389225976,0.626365455,0.050366728,0.054495538,0.00412881,1.081974946,TRUE,TRUE,TRUE,jitterg
