"grosscondecile","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro","cutoff"
"10","unlogpred","grosscon",1001,0.994,0.876395040491584,0.860203204496557,7.82460675676401,1.00243239676996,0.0279751667704432,0.971851616432927,0.177459997136054,0.172988183144344,-0.00447181399171007,0.974801002682979,TRUE,TRUE,TRUE,1,"$14,995,000"
"All","unlogpred","grosscon",822,0.8904,0.976694503256469,0.875388614661594,9.4764068751695,1.01779402246987,-0.0498184990402866,1.11081489816273,0.245984482124182,0.216820745773217,-0.029163736350965,0.881440747403561,FALSE,TRUE,TRUE,2,""
"1","unlogpred","grosscon",83,1.0348,0.0140689306516538,0.000738174802991739,10.0923224123292,1.00464382492344,0.569671265065223,0.65157087006573,0.0405354706892574,0.00778750568595519,-0.0327479650033023,0.192115832221457,TRUE,TRUE,TRUE,2,"$165,000"
"2","unlogpred","grosscon",83,0.954,0.00446938025179,0.000584379111710903,6.50792172232752,1.00033215195298,1.192662783034,0.284018315704404,0.0115967658189383,0.000449021123125567,-0.0111477446958127,0.0387195128483397,TRUE,TRUE,TRUE,2,"$179,100"
"3","unlogpred","grosscon",82,0.9267,0.0026188093231131,0.000123645965902286,5.8482645051531,1.00024190417923,1.36510784417293,0.218316609478211,0.00732100349395377,-0.00494367153745609,-0.0122646750314099,-0.675272391488263,TRUE,TRUE,TRUE,2,"$187,000"
"4","unlogpred","grosscon",82,0.8863,0.000201708296322233,0.00825824785661345,5.0671522597388,1.00026956356111,1.34791104718696,0.249919546448964,0.00862295341103499,-0.0010697591250871,-0.00969271253612209,-0.124059481026315,FALSE,TRUE,TRUE,2,"$198,000"
"5","unlogpred","grosscon",82,0.8911,0.00643979869703319,0.0201149373897923,7.27901555574468,1.00033048833094,1.23315599366333,0.271389290890392,0.0120638661540885,0.00473023523884685,-0.00733363091524167,0.392099446266133,FALSE,TRUE,TRUE,2,"$215,000"
"6","unlogpred","grosscon",82,0.8636,0.0548248987268322,0.0979604531950855,7.97020130375608,1.00053641256114,0.942477872689239,0.381316615902577,0.0228082459084787,0.0155010810315874,-0.0073071648768913,0.679626179662727,FALSE,TRUE,TRUE,2,"$245,000"
"7","unlogpred","grosscon",82,0.8182,0.00553435899799537,0.00010453573238266,8.27365823858317,1.0010880139081,1.24767195253304,0.314138584926031,0.0167270267685433,-0.00455858829680717,-0.0212856150653505,-0.272528307623685,FALSE,TRUE,TRUE,2,"$270,000"
"8","unlogpred","grosscon",82,0.8264,0.0222358185402219,0.0487166878284692,8.65976375837726,1.00015610732749,1.21472888729243,0.229952162635773,0.013678608887758,0.0129137032691555,-0.00076490561860254,0.944080160133308,FALSE,TRUE,TRUE,2,"$290,000"
"9","unlogpred","grosscon",82,0.8474,0.400287303647066,0.426203813135901,9.03298156356717,0.999354853166466,0.457337361505205,0.597259671384597,0.0504755067024038,0.0555574402917029,0.00508193358929913,1.10068118026554,FALSE,TRUE,TRUE,2,"$399,800"
"10","unlogpred","grosscon",82,0.8703,0.918394289883897,0.909859585501941,6.20200185195773,1.00068455754275,0.0236767030318247,0.963277990646252,0.171491326062836,0.17053359592695,-0.000957730135886514,0.994415285263258,FALSE,TRUE,TRUE,2,"$1,094,619"
"All","unlogpred","grosscon",5271,0.9837,0.983055249853115,0.986925373329244,6.18720302896521,1.01320863600764,-0.0180652270393774,1.02389146793532,0.314000734064622,0.303092411172129,-0.0109083228924935,0.965260199390972,TRUE,TRUE,TRUE,3,""
"1","unlogpred","grosscon",528,1.0141,0.224073277038144,0.644636846270344,8.17098715330875,1.01172530038974,0.343075445787908,0.979884779510076,0.0886117623827211,0.0644274004112798,-0.0241843619714413,0.727075036979999,TRUE,TRUE,TRUE,3,"$497,000"
