"nbhd","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro"
"3150","unlogpred","grosscon",149,0.9892,0.942019630922055,0.932257244535348,5.67746542090022,1.01344394382098,-0.0435958611680638,1.06109603714719,0.217810223603179,0.199750341311362,-0.0180598822918167,0.917084322337783,TRUE,TRUE,TRUE,3
"3160","unlogpred","grosscon",49,0.9904,0.981402245733881,0.96771061409867,6.49453676255688,1.01417752495763,-0.0192922461563272,1.02889829182677,0.353735605007764,0.343040313112932,-0.0106952918948318,0.969764728957389,TRUE,TRUE,TRUE,3
"3161","unlogpred","grosscon",35,0.9839,0.958688363619723,0.941497854043578,5.52560949394964,1.01246748488691,-0.067383073083145,1.09477408087281,0.192534759881007,0.175099883323291,-0.0174348765577158,0.909445564175055,TRUE,TRUE,TRUE,3
"3170","unlogpred","grosscon",30,0.981,0.639463206266068,0.49279398380851,9.11160046629472,1.01465886191622,-0.202640199311703,1.21527395658305,0.108126201637087,0.0638939777706125,-0.0442322238664742,0.590920394901741,TRUE,TRUE,TRUE,3
"3180","unlogpred","grosscon",276,0.9818,0.952746583584746,0.963398512456008,5.97101514548616,1.01053128052739,-0.0287447813123222,1.03616589871625,0.24307318404726,0.229941996034715,-0.0131311880125449,0.945978458857922,TRUE,TRUE,TRUE,3
"3190","unlogpred","grosscon",4,0.997,0.941353144843007,1,3.23348394225176,1.00621938679352,-0.132050798206625,1.34111698625864,0.0952313778499811,0.0750309706327197,-0.0202004072172615,0.787880762902713,TRUE,FALSE,TRUE,3
"3200","unlogpred","grosscon",332,0.9842,0.941257360895645,0.95766445829807,7.44383227499581,1.02693419636724,-0.0490974940134399,1.01794620992921,0.225257901238122,0.209585168346012,-0.0156727328921095,0.930423160271116,TRUE,TRUE,TRUE,3
"3201","unlogpred","grosscon",69,0.9782,0.850711616482302,0.91531527937548,7.19113822540838,1.00909990552015,-0.0383285781315741,1.05389196895711,0.157080026713578,0.139011595746748,-0.0180684309668297,0.884973084453468,TRUE,TRUE,TRUE,3
"3202","unlogpred","grosscon",438,0.9773,0.937733553420581,0.951439191525688,6.62999366261958,1.00986998690579,-0.0193789876399009,1.03161898234182,0.229690109619983,0.214926850343194,-0.0147632592767896,0.935725315725544,TRUE,TRUE,TRUE,3
"3210","unlogpred","grosscon",2,0.9905,1,1,1.79157752787247,1.00335434914221,-0.0690452261349115,1.10484469616775,0.0933014354066986,0.0846264654744406,-0.00867496993225791,0.907022117136313,TRUE,FALSE,TRUE,3
"3220","unlogpred","grosscon",19,0.9988,0.886310293148668,0.787871149754879,3.99577488374437,1.00389637877446,-0.128355161454033,1.30564606854805,0.0731217760077886,0.0549583946986357,-0.0181633813091529,0.75160092792032,TRUE,FALSE,TRUE,3
"3230","unlogpred","grosscon",147,0.9845,0.965715599309877,0.959527208010218,3.83245565262438,1.00569233984104,-0.0386449010117915,1.0567752135049,0.160231546015008,0.148361700938446,-0.0118698450765615,0.92592067310235,TRUE,FALSE,TRUE,3
"3231","unlogpred","grosscon",21,0.9789,0.927767813302867,0.83452761431277,2.95969069237958,1.00244250332118,-0.0709340286507231,1.14779333663421,0.0729965704627113,0.0609473250942456,-0.0120492453684657,0.834934089477248,TRUE,FALSE,TRUE,3
"3232","unlogpred","grosscon",73,0.9867,0.941931032950809,0.924857017052944,4.78522881904757,1.00698437034026,-0.0419634479083354,1.05144477010781,0.172459408743859,0.160514046351835,-0.0119453623920247,0.930735223557642,TRUE,FALSE,TRUE,3
"3233","unlogpred","grosscon",72,0.9928,0.939768209083013,0.925528740428921,4.88855635733167,1.00587142471921,-0.0365090378145983,1.07505917128371,0.155114000181781,0.143981730358004,-0.0111322698237769,0.928231688882172,TRUE,FALSE,TRUE,3
"3250","unlogpred","grosscon",61,0.9782,0.90878561245202,0.888857791132438,7.27217110355357,1.01721053563938,-0.0940158957840042,1.14746598907466,0.199229463308496,0.182817639420243,-0.0164118238882534,0.917623510018493,TRUE,TRUE,TRUE,3
"3270","unlogpred","grosscon",35,0.9772,0.972117491815342,0.940402787621073,6.65596505699447,1.01130286361819,-0.0329420810763386,1.04701056115364,0.251546711750403,0.239357365757163,-0.0121893459932398,0.951542415687251,TRUE,TRUE,TRUE,3
"3280","unlogpred","grosscon",73,0.9811,0.93470438392516,0.945449870420078,4.92283502792391,1.00855677223834,-0.0924550941267572,1.09143863265292,0.123404034638393,0.110403845599703,-0.0130001890386906,0.894653452159935,TRUE,FALSE,TRUE,3
